original_name,french_name,RICname
corck,Corck,Cork
corea,Corée,Korea (Chosen)
coree,Corée,Korea (Chosen)
corée,Corée,Korea (Chosen)
corée sud,Corée,Korea (Chosen)
costa rica,Costa Rica,Costa Rica
costa-rica,Costa Rica,Costa Rica
costa-rica (punta-arenas),Costa Rica (Punta Arenas),Puntarenas
côte d'afrique,Côte d'Afrique,Africa Coast
côte de coromandel,Côte de Coromandel,Coromandel Coast Posts
côte de l'or,Côte de l'Or,Ghana (Gold Coast)
côte de malabar,Côte de Malabar,Malabar Coast
cote de syrie,Syrie (Autre),Syria (other)
côte des somalis,Somalie française,Djibouti (Afar and Issas) (French Somaliland)
côte d'ivoire,Côte d'Ivoire,Ivory Coast
côte du vent,Côte du Vent (Sénégal et Gorée),Senegal & Goree
côte du vent (sénégal et gorée),Côte du Vent (Sénégal et Gorée),Senegal & Goree
côte est presquîle malaise,Malaisie (côte orientale),Malaysia East Coast
côte malaise,Malaisie (Autre),Malaysia (Malaya) (other)
côte nord ou de vent,Côte du Vent (Sénégal et Gorée),Senegal & Goree
côte occid. afrique,Afrique occidentale,West Africa
côte occidentale (nord),Afrique nord-occidentale,North-West Africa
côte occidentale amérique,Amérique occidentale,West America
côte occidentale d'afrique,Afrique occidentale,West Africa
côte occidentale d'afrique et autres pays d'afrique,Afrique occidentale et Afrique (Autre),West Africa & Africa (other)
côte occidentale d'afrique possessions allemandes,Afrique occidentale allemande,German West Africa
côte occidentale d'afrique possessions anglaises,Afrique occidentale britannique,British West Africa
côte occidentale d'afrique possessions britaniques,Afrique occidentale britannique,British West Africa
côte occidentale d'afrique possessions espagnoles,Afrique occidentale espagnole,Spanish West Africa
côte occidentale d'afrique possessions françaises,Afrique occidentale française,French West Africa
côte occidentale d'afrique possessions portugaises,Afrique occidentale portugaise,Portuguese West Africa
côte occidentale d'afrique-possessions allemandes,Afrique occidentale allemande,German West Africa
côte occidentale d'afrique-possessions britanniques,Afrique occidentale britannique,British West Africa
côte occidentale d'afrique-possessions espagnoles,Afrique occidentale espagnole,Spanish West Africa
côte occidentale d'afrique-possessions françaises,Afrique occidentale française,French West Africa
côte occidentale d'afrique-possessions portugaises,Afrique occidentale portugaise,Portuguese West Africa
côte occidentale de la péninsule,Malaisie (côte occidentale),Malaysia West Coast
côte ocidentale malaise,Malaisie (Autre),Malaysia (Malaya) (other)
côte orient. afrique,Afrique orientale,East Africa
côte orientale (sud),Afrique sud-orientale,South East Africa
côte orientale afrique,Afrique orientale,East Africa
côte orientale d'afrique possessions allemandes,Afrique orientale allemande,Tanzania (Tanganyika) (German East Africa)
côte orientale d'afrique possessions anglaises,Afrique orientale britannique,British East Africa
côte orientale d'afrique possessions britaniques,Afrique orientale britannique,British East Africa
côte orientale d'afrique possessions françaises,Afrique orientale française,Djibouti (Afar and Issas) (French Somaliland)
côte orientale d'afrique possessions italiennes,Afrique orientale italienne,Italian East Africa
côte orientale d'afrique possessions portugaises,Afrique orientale portugaise,Portuguese East Africa
côte orientale d'afrique-possessions allemandes,Afrique orientale allemande,Tanzania (Tanganyika) (German East Africa)
côte orientale d'afrique-possessions britanniques,Afrique orientale britannique,British East Africa
côte orientale d'afrique-possessions espagnoles,Afrique orientale espagnole,Spanish East Africa
côte orientale d'afrique-possessions françaises,Afrique orientale française,Djibouti (Afar and Issas) (French Somaliland)
côte orientale d'afrique-possessions portugaises,Afrique orientale portugaise,Portuguese East Africa
côte orientale de la péninsule,Malaisie (côte orientale),Malaysia East Coast
côte orientale malaise,Malaisie (côte orientale),Malaysia East Coast
côte ouest presquîle malaise,Malaisie (côte occidentale),Malaysia West Coast
côte sous le vent,Côte Sous le Vent (Sud) en Afrique,Windward Coast of Africa
côte sud ou sous le vent,Côte Sous le Vent (Sud) en Afrique,Windward Coast of Africa
côtes d'afrique,Côte d'Afrique,Africa Coast
côtes d'afrique occidentale,Afrique occidentale,West Africa
côtes de coromandel,Côte de Coromandel,Coromandel Coast Posts
côtes de malabar,Côte de Malabar,Malabar Coast
côtes de syrie,Syrie (Autre),Syria (other)
côtes occid. d'afrique,Afrique occidentale,West Africa
côtes occid. d'amérique,Amérique occidentale,West America
côtes occidentales (sans amérique centrale),Amérique occidentale,West America
côtes orient. mexique,Mexique (côte orientale),Mexican East Coast
côtes orientales d'afrique,Afrique orientale,East Africa
cracovie,Cracovie,Cracow
crete,Crète,Crete
crète,Crète,Crete
crête,Crète,Crete
crete (turkey),Crète,Crete
crozett,Crozett,Crozet Is.
cub,Cuba,Cuba
cuba,Cuba,Cuba
cuba (+porto rico),Cuba et Porto Rico,Cuba & Puerto Rico
cuba (havane),Cuba (La Havane),Havana
cuba (havane)**,Cuba (La Havane),Havana
cuba (port de santiago),Cuba (Port de Santiago),Santiago de Cuba
cuba (west indies),Cuba,Cuba
cuba and other foreign west indies,Cuba et Antilles non britanniques,Antilles (other) & Cuba
cuba and porto rico,Cuba et Porto Rico,Cuba & Puerto Rico
cuba et porto rico,Cuba et Porto Rico,Cuba & Puerto Rico
cuba et porto-rico,Cuba et Porto Rico,Cuba & Puerto Rico
"cuba, peru, chile & other countries",Cuba et Pérou et Chili et autres pays,Chile & Cuba & Other countries & Peru
"cuba, porto rico",Cuba et Porto Rico,Cuba & Puerto Rico
"cuba, porto rico, guadaloupe, st. croix, st. thomas, martinique, curacoa",Cuba et Porto Rico et Guadeloupe et Sainte-Croix et Saint-Thomas et Martinique et Curaçao,Cuba & Curacao & Guadeloupe & Martinique & Puerto Rico & St. Thomas & St. Croix
"cuba, porto-rico",Cuba et Porto Rico,Cuba & Puerto Rico
cuba‡,Cuba,Cuba
curacao,Antilles néerlandaises (Curaçao),Curacao
curaçao,Antilles néerlandaises (Curaçao),Curacao
curaçao (l'île),Antilles néerlandaises (Curaçao),Curacao
curacao (netherlands west indies),Antilles néerlandaises (Curaçao),Curacao
curacoa,Antilles néerlandaises (Curaçao),Curacao
curcacao,Antilles néerlandaises (Curaçao),Curacao
customs union,Zollverein,Germany (Zollverein)
cyprus,Chypre,Cyprus
czechoslovakia,Tchécoslovaquie,Czechoslovakia
"dalny, corée et vladivostok",Dalny et Corée et Vladivostok,Dalny & Korea (Chosen) & Vladivostok
"dalny, korea, vladivostock",Dalny et Corée et Vladivostok,Dalny & Korea (Chosen) & Vladivostok
daneamark,Danemark,Denmark
danemarck,Danemark,Denmark
danemarck (non compris altona),Danemark (sans Altona),Denmark
danemarck et norvège,Danemark et Norvège,Denmark & Norway
danemarck**,Danemark,Denmark
danemark,Danemark,Denmark
danemark (+groënland),Danemark et Groenland,Denmark & Greenland
danemark (+islande),Danemark et Islande,Denmark & Iceland
danemark (duché de holstein),Danemark (Holstein),Holstein
danemark (duché de schleswig),Danemark (Schleswig),Schleswig
danemark (proprement dit),Danemark,Denmark
danemark (saint thomas),Saint-Thomas,St. Thomas
danemark (y compris les duchés de schleswig holstein),Danemark et Schleswig et Holstein,Denmark & Holstein & Schleswig
danemark et colonies,Danemark et Colonies danoises,Danish Colonies & Denmark
danemark et duchés,Danemark et Schleswig et Holstein,Denmark & Holstein & Schleswig
danemark et duchés (altona),Danemark et Schleswig et Holstein et Altona,Denmark & Holstein & Schleswig
danemark et duchés (mer),Danemark et Schleswig et Holstein (mer),Denmark & Holstein & Schleswig
danemark et possessions,Danemark et Colonies danoises,Danish Colonies & Denmark
danemark et russie,Danemark et Russie,Denmark & Russia/USSR
danemark et russie**,Danemark et Russie,Denmark & Russia/USSR
danemark**,Danemark,Denmark
"danemark, duchés et altona",Danemark et Schleswig et Holstein et Altona,Denmark & Holstein & Schleswig
"danemark, russie,suède",Danemark et Russie et Suède,Denmark & Russia/USSR & Sweden
danemark_ indes occidentales danoises,Antilles danoises,Virgin Islands (Danish West Indies)
danemarrk (y compris les duchés),Danemark et Schleswig et Holstein,Denmark & Holstein & Schleswig
danish ports,Danemark (ports),Denmark Ports
danish west india islands,Antilles danoises,Virgin Islands (Danish West Indies)
danish west india islands (denmark),Antilles danoises,Virgin Islands (Danish West Indies)
danish west india islands (ste. croix and st. thomas),Sainte-Croix et Saint-Thomas,St. Croix & St. Thomas
danish west indies,Antilles danoises,Virgin Islands (Danish West Indies)
"danish west indies (ste. croix, st. thomas and st. john)",Sainte-Croix et Saint-Thomas et Saint-John,St. Croix & St. Jan & St. Thomas
danish west indies : st. thomas,Saint-Thomas,St. Thomas
danish west indies : ste. croix,Sainte-Croix,St. Croix
dantzig,Dantzig,Danzig
danube,Roumanie,Romania
danube kingdoms,Roumanie,Romania
danube principalities,Roumanie,Romania
danzig,Dantzig,Danzig
de brême et de lubeck,De Brême et de Lubeck,World (via Bremen & Lubeck)
de portg et lunebourg,De Portg et de Lunebourg,World (via Harburg & Lüneburg)
"de la isla de zanzibar de africa, pero comprendida en la misma legislacion",Ile de Zanzibar d'Afrique compris dans les mêmes lois,Zanzibar
de l'elbe inférieur,Allemagne (Elbe inférieur),World (via Germany (lower Elbe))
de l'elbe supérieur,Allemagne (Elbe supérieur),World (via Germany (upper Elbe))
de lubeck,Lubeck,World (via Lubeck)
delagoa bay,Delagoa Bay,Maputo Bay (Delagoa Bay)
delegoa bay,Delagoa Bay,Maputo Bay (Delagoa Bay)
delhi,Delhi,Delhi
demerara (british guiana),Guyane britannique (Demerara),Demerara
demerary,Guyane britannique (Demerara),Demerara
denmark,Danemark,Denmark
denmark (including faroe islands),Danemark et Iles Féroé,Denmark & Faeroe Is.
denmark (including faroe islands)* and iceland and greenland (denmark),Danemark et Islande et Groenland et Iles Féroé,Denmark & Faeroe Is. & Greenland & Iceland
denmark (including faroe islands)* iceland and greenland,Danemark et Islande et Groenland et Iles Féroé,Denmark & Faeroe Is. & Greenland & Iceland
denmark (including faroe islands)* iceland and greenland),Danemark et Islande et Groenland et Iles Féroé,Denmark & Faeroe Is. & Greenland & Iceland
denmark (including iceland and greenland),Danemark et Islande et Groenland,Denmark & Greenland & Iceland
denmark (including iceland and the faroe islands),Danemark et Islande et Iles Féroé,Denmark & Faeroe Is. & Iceland
denmark (including iceland and the raroe islands),Danemark et Islande et Iles Féroé,Denmark & Faeroe Is. & Iceland
denmark and danish west indies,Danemark et Antilles danoises,Denmark & Virgin Islands (Danish West Indies)
denmark and dependencies,Danemark et Dépendances danoises,Denmark & Denmark Dependencies
denmark and duchies of sleswick and holstein,Danemark et Schleswig et Holstein,Denmark & Holstein & Schleswig
denmark and iceland,Danemark et Islande,Denmark & Iceland
denmark and the duchies of sleswick and holstein,Danemark et Schleswig et Holstein,Denmark & Holstein & Schleswig
denmark iceland and faroe islands,Danemark et Islande et Iles Féroé,Denmark & Faeroe Is. & Iceland
denmark iceland and the faroe islands),Danemark et Islande et Iles Féroé,Denmark & Faeroe Is. & Iceland
denmark iceland and the raroe islands,Danemark et Islande et Iles Féroé,Denmark & Faeroe Is. & Iceland
denmark proper,Danemark,Denmark
"denmark, st.thomas",Danemark et Saint-Thomas,Denmark & St. Thomas
dépendances de maurice,Dépendances de Maurice,Mauritius Dependencies
dépendances maurice,Maurice,Mauritius Dependencies
dependencies of mauritius,Maurice,Mauritius Dependencies
desolation island,Ile de la Désolation,Clipperton I.
"détroits (etablissements des), etc.",Straits Settlements,Straits Settlements
deu,Allemagne,Germany
deutsch ostafrika,Afrique orientale allemande,Tanzania (Tanganyika) (German East Africa)
deutsch südwestafrika,Afrique sud-occidentale allemande,South West Africa (German West Africa) (Namibia)
deutsch südwestafrika et kamerun et togo,Afrique sud-occidentale allemande et Kamerun et Togo,South West Africa (German West Africa) (Namibia) & Kamerun & Togo (French Togoland)
deutsch südwestafrika et togo,Afrique sud-occidentale allemande et Togo,South West Africa (German West Africa) (Namibia) & Togo (French Togoland)
deux siciles,Deux-Siciles,Two Sicilies
deux-siciles,Deux-Siciles,Two Sicilies
deux-siciles (royaume de naples),Deux-Siciles,Two Sicilies
deux-siciles**,Deux-Siciles,Two Sicilies
diarbekir,Arménie (Diarbekir),Diarbekir
dinamarca,Danemark,Denmark
divers ports prusse,Prusse (ports),Prussian Ports
djeddah,Djeddah,Jeddah
djibouti,Djibouti,Djibouti (Afar and Issas) (French Somaliland)
d'jibouti (france),Djibouti,Djibouti (Afar and Issas) (French Somaliland)
d'jibouti and obokh (france),Djibouti (Djibouti et Obock),Djibouti (Afar and Issas) (French Somaliland) & Obock
dominica,Dominique,Dominica
dominica (british west india islands),Dominique,Dominica
dominica (leeward islands - west india islands),Dominique,Dominica
dominicaine (république),République dominicaine,Dominican Republic (Santo Domingo)
dominion of canada,Canada,Canada
dominion of canada (total),Canada,Canada
"dominion of canada, and other british north american provinces",Canada et Amérique du Nord britannique (Autre),British North America
dominion of cananda and other british north american possessions,Canada et Amérique du Nord britannique (Autre),British North America
dominion of new zealand,Nouvelle-Zélande,New Zealand
dominique (la),La Dominique,Dominica
donau-vorstendommen,Roumanie,Romania
dos sicilias,Deux-Siciles,Two Sicilies
du schleswig-holstein,Du Schleswig-Holstein,World (via Holstein & Schleswig)
du schleswig-holstein et par altona,Du Schleswig-Holstein et par Altona,World (via Altona & Holstein & Schleswig)
duchés de holstein excepté transit pa kiel,Holstein (sauf transit par Kiel),Holstein
duchés de parme modène et toscane,Parme et Modène et Toscane,Modena & Parma & Tuscany
duchés de saxe,Duchés saxons,Saxe Weimar & Saxe Altenburg & Saxe Coburg & Saxe Meiningen
duchés de schleswig,Schleswig,Schleswig
duchés de schleswig holstein,Schleswig-Holstein,Holstein & Schleswig
duchés elbe par altona,Duchés Elbe par Altona,Holstein & Schleswig (via Altona)
dunkerque,Dunkerque,Dunkirk
dutch borneo,Bornéo hollandaise,Banjermassin (Dutch Borneo)
dutch borneo (dutch east indies),Bornéo hollandaise,Banjermassin (Dutch Borneo)
dutch borneo (holland),Bornéo hollandaise,Banjermassin (Dutch Borneo)
dutch borneo (netherlands),Bornéo hollandaise,Banjermassin (Dutch Borneo)
dutch east indies,Indes néerlandaises orientales,Indonesia (Dutch East Indies)
dutch guiana,Guyane hollandaise,Surinam
dutch guiana (holland),Guyane hollandaise,Surinam
dutch guiana (netherlands),Guyane hollandaise,Surinam
dutch india,Indes néerlandaises,Indonesia (Dutch East Indies)
dutch new guinea,Nouvelle-Guinée hollandaise,West Irian (Dutch New Guinea)
dutch new guinea (holland),Nouvelle-Guinée hollandaise,West Irian (Dutch New Guinea)
dutch new guinea (netherlands),Nouvelle-Guinée hollandaise,West Irian (Dutch New Guinea)
dutch ports,Ports hollandais,Netherlands Ports
dutch possessions,Colonies hollandaises,Dutch Colonies
dutch possessions in borneo†,Bornéo hollandaise,Banjermassin (Dutch Borneo)
dutch possessions in borneo† (holland),Bornéo hollandaise,Banjermassin (Dutch Borneo)
dutch possessions in new guinea†,Nouvelle-Guinée hollandaise,West Irian (Dutch New Guinea)
dutch possessions new guinea† (holland),Nouvelle-Guinée hollandaise,West Irian (Dutch New Guinea)
dutch possessions on the gold coast,Côte d'Or néerlandaise,Dutch Posts (Gold Coast)
dutch possessions on the gold coast (holland),Côte d'Or néerlandaise,Dutch Posts (Gold Coast)
dutch west india islands,Antilles néerlandaises,Netherlands Antilles
dutch west india islands (holland),Antilles néerlandaises,Netherlands Antilles
dutch west india islands (netherlands),Antilles néerlandaises,Netherlands Antilles
dutch west indies,Antilles néerlandaises,Netherlands Antilles
dutch west indies (curacoa )(holland),Antilles néerlandaises (Curaçao),Curacao
dutch west indies (curaçoa),Antilles néerlandaises (Curaçao),Curacao
"dutch west indies (st. martin, south part, st. eustatius, and curacoa )(holland)",Antilles néerlandaises (Curaçao et St Eustache et St Martin),Curacao & Dutch Windward Is. & Sint Eustatius
dutch west indies : curacoa (holland),Antilles néerlandaises (Curaçao),Curacao
dutch west indies and dutch guiana,Antilles néerlandaises et Nouvelle-Guinée hollandaise,Netherlands Antilles & West Irian (Dutch New Guinea)
dutch west indies and dutsch guiana,Antilles néerlandaises et Nouvelle-Guinée hollandaise,Netherlands Antilles & West Irian (Dutch New Guinea)
dutch west indies and guiana,Antilles néerlandaises et Nouvelle-Guinée hollandaise,Netherlands Antilles & West Irian (Dutch New Guinea)
dutch west indies: curacoa (holland),Antilles néerlandaises (Curaçao),Curacao
east africa,Afrique orientale,East Africa
east africa  other territories under british influence,Afrique orientale britannique,British East Africa
east africa - other territories under british influence,Afrique orientale britannique,British East Africa
east africa - zanzibar and pemba,Zanzibar et Pemba,Pemba Island & Zanzibar
east africa - zanzibar and pemba (protectorate of),Zanzibar et Pemba,Pemba Island & Zanzibar
east africa : east africa protectorate,Kenya,Kenya (British East Africa Protectorate)
east africa : east africa protectorate and uganda protectorate,Kenya et Ouganda,Kenya (British East Africa Protectorate) & Uganda
east africa : nyasaland protectorate,Nyasaland,Malawi (Nyasaland)
east africa : uganda protectorate,Ouganda,Uganda
east africa : zanzibar and pemba,Zanzibar et Pemba,Pemba Island & Zanzibar
east africa portugal,Afrique orientale portugaise,Portuguese East Africa
east africa protectorate,Kenya,Kenya (British East Africa Protectorate)
east africa protectorate (including zanzibar),Kenya et Zanzibar,Kenya (British East Africa Protectorate) & Zanzibar
east africa protectorate and british central africa protectorate,Kenya et Malawi,Kenya (British East Africa Protectorate) & Malawi (Nyasaland)
east african protectorate,Protectorats d'Afrique orientale,Protectorates in East Africa
east british africa,Afrique orientale britannique,British East Africa
east coast of africa,Afrique orientale,East Africa
east indes (except ceylon),Indes orientales (sauf Ceylan),East Indies (other)
east india,Indes orientales,East Indies
east india company's territories and ceylon,Compagnie des Indes orientales et Ceylan,East India Company & Sri Lanka (Ceylon)
east indies,Indes orientales,East Indies
east indies (except ceylon),Indes orientales (sauf Ceylan),East Indies (other)
east indies (total),Indes orientales,East Indies
east indies and other parts of asia,Indes orientales et Asie (Autre),Asia (other) & East Indies
east indies britan.,Asie britannique,British Asia
"east indies, china, etc",Indes orientales et Asie (Autre),Asia (other) & East Indies
"east indies, china, etc.",Indes orientales et Asie (Autre),Asia (other) & East Indies
"east indies, siam",Indes orientales et Siam,East Indies & Thailand (Siam)
eastern africa (extending from the colonial territory of the natal to the limits of abyssinia),Afrique orientale (indépendante),East Africa (other)
eastern africa (native states),Afrique orientale (indépendante),East Africa (other)
eastern africa : native states,Afrique orientale (indépendante),East Africa (other)
eastern africa : native states†,Afrique orientale (indépendante),East Africa (other)
eastern africa: native states,Afrique orientale (indépendante),East Africa (other)
eastern coast of africa,Afrique orientale,East Africa
eastern coast of africa - zanzibar and pemba (protectorate of),Zanzibar et Pemba,Pemba Island & Zanzibar
eastern coast of africa (from the british possessions in south  africa to the straits of bab-el-mandeb),Afrique orientale (Autre),East Africa (other)
eastern coast of africa other territories under british influence,Afrique orientale britannique (Autre),British East Africa (Other)
"eastern coast, cape colony, madagascar, &c.",Afrique orientale britannique et Colonie du Cap et Madagascar,British East Africa & Cape Colony & Malagasy Republic (Madagascar)
"eastern coast, cape colony, madagascar, &c. and egypt",Afrique orientale britannique et Colonie du Cap et Madagascar et Egypte,British East Africa & Cape Colony & Egypt/United Arab Republic & Malagasy Republic (Madagascar)
eats-unis,Etats-Unis,United States of America
ecuador,Equateur,Ecuador
egipto,Egypte,Egypt/United Arab Republic
egy,Egypte,Egypt/United Arab Republic
egypt,Egypte,Egypt/United Arab Republic
egypt (including the transit from india),Egypte,Egypt/United Arab Republic
"egypt (mediterranean ports, including the transit from india etc.)",Egypte (Autres ports),Egypt/United Arab Republic Ports (other)
"egypt (mediterranean ports, including the transit from india, &c.)",Egypte (Autres ports),Egypt/United Arab Republic Ports (other)
egypt (ports on the mediterranean),Egypte (Autres ports),Egypt/United Arab Republic Ports (other)
egypt (turkey in africa),Egypte,Egypt/United Arab Republic
egypt and sudan,Egypte et Soudan,Egypt/United Arab Republic & Sudan (Anglo-Egyptian)
egypt and tripoli(turkey in africa),Egypte et Tripoli,Egypt/United Arab Republic & Libya (Tripolitania Cyrenaica Fezzan)
egypt*,Egypte,Egypt/United Arab Republic
egypt†,Egypte,Egypt/United Arab Republic
egypt‡,Egypte,Egypt/United Arab Republic
egypte,Egypte,Egypt/United Arab Republic
egypte - alexandrie,Egypte (Alexandrie),Alexandria
egypte - alexandrie**,Egypte (Alexandrie),Alexandria
egypte (alep),Egypte (Alep),Aleppo
egypte (alexandrie),Egypte (Alexandrie),Alexandria
"egypte (alexandrie, djeddah, damiette et rosette)",Egypte (Alexandrie et Djeddah et Damiette et Rosette),Alexandria & Damietta & Jeddah & Rosetta
egypte (candie),Egypte (Candie),Crete
egypte (djeddah),Egypte (Djeddah),Jeddah
egypte (la canée),Egypte (La canée),Chania
egypte (port d'alexandrie),Egypte (Alexandrie),Alexandria
egypte (syrie),Egypte (Syrie),Syria
egypte (tarsous),Egypte (Tarsous),Tarsus
"egypte (tarsous, province d'adana)",Egypte (Tarsous),Tarsus
egypte et candie,Egypte et Candie,Crete & Egypt/United Arab Republic
egypte et dépandances,Egypte et Autre,Egypt/United Arab Republic & Other countries
egypte et dépendances,Egypte et Autre,Egypt/United Arab Republic & Other countries
egypte et régences barbaresques,Egypte et Etats Barbaresques,Barbary Coast & Egypt/United Arab Republic
egypte et syrie,Egypte et Syrie,Egypt/United Arab Republic & Syria
egypte et syrie (alexandrie),Egypte et Syrie (Alexandrie),Alexandria & Egypt/United Arab Republic
egypte et syrie (beyrout),Egypte et Syrie (Beyrout),Beirut & Egypt/United Arab Republic
egypte et syrie (candie),Egypte et Syrie (Candie),Crete & Egypt/United Arab Republic
egypte et syrie (egypte),Egypte et Syrie (Egypte),Egypt/United Arab Republic & Syria
egypte et syrie (syrie),Egypte et Syrie,Egypt/United Arab Republic & Syria
egypte et syrie et caramanie (beyrout),Egypte et Syrie et Caramanie (Beyrout),Egypt/United Arab Republic & Syria & Beirut
egypte**,Egypte,Egypt/United Arab Republic
egypte-alexandrie,Egypte et Syrie (Alexandrie),Alexandria & Egypt/United Arab Republic
eire,Irlande,Ireland
ejipto,Egypte,Egypt/United Arab Republic
"el hedjaz, and ports on the euphrates or the persian gulf (turkey)",Turquie (Ports de l'Euphrate et du Golfe persique) et Hedjaz,Turkish Ports & Hejaz Sultanate
"el hedjaz, and ports on the euphrates ot the persian gulf (turkey)",Turquie (Ports de l'Euphrate et du Golfe persique) et Hedjaz,Turkish Ports & Hejaz Sultanate
el salvador,El Salvador,El Salvador
elbe supérieur et affluens (commerce de terre),Elbe supérieur et affluents (commerce par terre),Elbe
empire d'allemagne,Allemagne,Germany
empire d'allemgne,Allemagne,Germany
empire ottoman,Empire Ottoman,Turkey
enclaves (territoire de lubeck),Lubeck,Lubeck
england,Angleterre,United Kingdom
english america,Amérique britannique,British America
english channel,La Manche,English Channel
english channel (for orders),La Manche,English Channel
english east indies,Indes britanniques orientales,British East Indies
english india,Indes britanniques,India
english indies,Indes britanniques,India
ensemble des possessions danoises,Colonies danoises,Danish Colonies
entrepôts de france,France (entrepôts),French Entrepôts
entrepôts france,France (entrepôts),French Entrepôts
epaves et sauvetages,***NA,***NA
equador,Equateur,Ecuador
equateur,Equateur,Ecuador
equateur (guayaquil),Equateur (Guayaquil),Guayaquil
equateur**,Equateur,Ecuador
eritrea,Erythrée,Eritrea
eritrea (italy),Erythrée,Eritrea
erythrée,Erythrée,Eritrea
erzeroum,Turquie (Erzurum),Erzurum
esp,Espagne,Spain
espagne,Espagne,Spain
espagne (+canaries),Espagne et Canaries,Canary Is. & Spain
espagne (bilbao),Espagne (Bilbao),Bilbao
espagne (cadix),Espagne (Cadix),Cadix
espagne (carthagène),Espagne (Carthagène),Cartagena (Spain)
espagne (corogne),Espagne (La Corogne),A Coruna
espagne (gijon),Espagne (Gijon),Gijón
espagne (iles baléares),Espagne (Iles Baléares),Balearic Islands
espagne (Îles baléares),Espagne (Iles Baléares),Balearic Islands
espagne (la corogne),Espagne (La Corogne),A Coruna
espagne (malaga),Espagne (Malaga),Málaga
"espagne (murcie, port de cartagena)",Espagne (Carthagène),Cartagena (Spain)
espagne (péninsule + ile de cuba),Espagne et Cuba,Cuba & Spain
espagne (plus colonies),Espagne et Colonies espagnoles,Spain & Spanish Colonies
espagne (saint-sébastien),Espagne (Saint-Sébastien),San Sebastián
espagne (san sebastian),Espagne (Saint-Sébastien),San Sebastián
espagne (santander),Espagne (Santander),Santander
espagne et canaries,Espagne et Canaries,Canary Is. & Spain
espagne et colonies,Espagne et Colonies espagnoles,Spain & Spanish Colonies
espagne et cuba,Espagne et Cuba,Cuba & Spain
espagne et gibraltar,Espagne et Gibraltar,Gibraltar & Spain
espagne et iles adjacentes,Espagne et Iles adjacentes,Spain
espagne et îles adjacentes,Espagne et Iles adjacentes,Spain
espagne et portugal,Espagne et Portugal,Portugal & Spain
espagne et possessions,Espagne et Colonies espagnoles,Spain & Spanish Colonies
espagne et ses possessions,Espagne et Colonies espagnoles,Spain & Spanish Colonies
espagne péninsule,Espagne,Spain
espagne sous pavillon espagnol,Espagne (pavillon espagnol),Spain (Spanish flag)
espagne sous pavillon étranger,Espagne (pavillon étranger),Spain (Foreign flag)
espagne**,Espagne,Spain
"espagne, colonies espagnoles et gibraltar",Espagne et Colonies espagnoles et Gibraltar,Gibraltar & Spain & Spanish Colonies
"espagne, gibraltar et portugal",Espagne et Portugal et Gibraltar,Gibraltar & Portugal & Spain
"espagne, iles canaries",Espagne et Canaries,Canary Is. & Spain
"espagne, indes occid. espagnoles",Espagne et Antilles espagnoles,Spain & Spanish Antilles
"espagne, madère, danemark",Espagne et Madère et Danemark,Denmark & Madeira Isles & Spain
"espagne, portugal",Espagne et Portugal,Portugal & Spain
espagne-cadix,Espagne (Cadix),Cadix
espana,Espagne,Spain
espana i sus colonias,Espagne et Colonies espagnoles,Spain & Spanish Colonies
espana y colonias,Espagne et Colonies espagnoles,Spain & Spanish Colonies
espana y sus colonias,Espagne et Colonies espagnoles,Spain & Spanish Colonies
establissements français en océanie,Océanie française,French Oceania
estado libre del congo,Congo belge,Zaire (Kinshasa) (Belgian Congo)
estados pontificios,Etats Romains,Papal States
estados unidos,Etats-Unis,United States of America
estados-unidos de america,Etats-Unis,United States of America
estados-unidos de norte america,Etats-Unis,United States of America
estern coast of afirca-other territories under british influence,Afrique orientale britannique,British East Africa
estonia,Estonie,Estonia
estonie,Estonie,Estonia
etablissement français en océanie,Océanie française,French Oceania
etablissements des détroits,Straits Settlements,Straits Settlements
etablissements des détroits et etats malais,Straits Settlements et Malaisie,Malaysia (Malaya) & Straits Settlements
etablissements français dans l'inde,Inde française,French India
etablissements français de l'océanie,Océanie française,French Oceania
etablissements français du golfe guinée,Golfe de Guinée français,French Gulf of Guinea
etablissements français en océanie,Océanie française,French Oceania
etat indépendant du congo,Congo belge,Zaire (Kinshasa) (Belgian Congo)
etat oriental,Uruguay,Uruguay
etats allemands,Allemagne,Germany
etats autrichiens,Autriche-Hongrie,Austria-Hungary
etats barbaresques,Etats Barbaresques,Barbary Coast
"etats barbaresques (régence de tripoli, tunisie et maroc)",Etats Barbaresques (Maroc et Tripoli et Tunisie),Morocco & Libya (Tripolitania Cyrenaica Fezzan) & Tunisia
etats confédération hors zollverein,Confédération germanique (sauf Zollverein),German Confederation
etats d'allemagne,Allemagne,Germany
etats d'amérique du nord,Amérique du Nord,Northern America
etats de la méditerranée,Méditerranée,Mediterranean Ports
etats de la plata,Etats du Rio de La Plata,Viceroyalty of La Plata
etats de lucques,Lucques,Lucca
etats d'italie,Italie,Italy
etats du rio de la plata,Etats du Rio de La Plata,Viceroyalty of La Plata
etats italiens,Italie,Italy
etats malais,Malaisie,Malaysia (Malaya)
etats malais britanniques,Malaisie,Malaysia (Malaya)
etats romains,Etats Romains,Papal States
etats romains  (civitavecchia),Etats Romains (Civita-Vecchia),Civitavecchia
etats romains (ancone),Etats Romains (Ancône),Ancona
etats romains (civita-vecchia),Etats Romains (Civita-Vecchia),Civitavecchia
