RICname,type,continent,COW_code,slug,part_of_country,wikidata,lat,lng
German Africa,colonial_area,Africa,,GermanAfrica,Germany,,,
Argentina & Uruguay,group,America,,Argentina_Uruguay,,,-33.366666666650005,-60.325
Northern America,geographical_area,America,,NorthernAmerica,,,,
Cyprus & Asian Turkey,group,World,,Cyprus_AsianTurkey,,,35.0,33.0
St. John,city/part_of,America,,,Virgin Islands (Danish West Indies),,,
Belitung,city/part_of,Asia,,,Indonesia (Dutch East Indies),,,
Barcelona,city/part_of,Europe,,Barcelona,Spain,,,
Azores (Western Isles) & Africa Coast (West),geographical_area,World,,,,,,
Western Anatolia,country,Asia,6402,WesternAnatolia,,Q51614,39,32
El Salvador,country,America,92,ElSalvador,,Q792,13.668889,-88.866111
South Africa (other),city/part_of,Africa,,,South Africa,,,
Dutch Oceania (other),colonial_area,Oceania,,DutchOceaniaother,Netherlands,,,
Canary Is. & Azores (Western Isles),group,World,,CanaryIs._AzoresWesternIsles,,,33.518,-21.874499999999998
Schleswig,country,Europe,2247,Schleswig,,Q26167,55.1666666667,9.25
Tanzania (Tanganyika) (German East Africa),country,Africa,510,TanzaniaTanganyikaGermanEastAfrica,,Q153963,-6.8324,39.2672
Mexico,country,America,70,Mexico,,Q96,23,-102
Malaysia (Malaya) & Sumatra,group,Asia,,MalaysiaMalaya_Sumatra,,,3.0000000000000004,108.0
India & Mauritius,group,World,,India_Mauritius,,,0.9000000000000002,67.25
Quebec (Lower Canada),country,America,1025,QuebecLowerCanada,,Q176,52,-72
British South Africa & Cape Colony,group,Africa,,BritishSouthAfrica_CapeColony,,,-33.0,18.0
Kerguelen Is. & Malagasy Republic (Madagascar),group,World,,,,,-34.625,58.08333333334999
Cochin China & Thailand (Siam),group,Asia,,CochinChina_ThailandSiam,,,14.477500000000003,105.97
British East Africa & Cape Colony & Malagasy Republic (Madagascar),group,Africa,,BritishEastAfrica_CapeColony_MalagasyRepublicMadagascar,,,-26.5,32.5
Hawaii & United States of America,group,America,,Hawaii_UnitedStatesofAmerica,,,30.103194444450004,-117.4165277778
West Irian (Dutch New Guinea),country,Oceania,851,WestIrianDutchNewGuinea,,Q3845,-5,136
Indonesia (Dutch East Indies) (other),city/part_of,Asia,,IndonesiaDutchEastIndiesother,Indonesia (Dutch East Indies),,,
Venezuela,country,America,101,Venezuela,,Q717,8,-67
Callao,city/part_of,America,,Callao,Peru,,,
Dominican Republic (Santo Domingo) & Haiti,group,America,,DominicanRepublicSantoDomingo_Haiti,,,18.9,-71.5
Aden & Straits Settlements,group,Asia,,,,,7.083333333350001,74.41666666665
Padang,city/part_of,Asia,,Padang,Indonesia (Dutch East Indies),,,
Cape Breton I. & Nova Scotia,group,America,,CapeBretonI._NovaScotia,,,45.58333333335,-61.87499999999999
Greece & Ionian Is.,group,Europe,,Greece_IonianIs.,,,38.5,21.75
Malagasy Republic (Madagascar) & Malagasy Republic (Madagascar) Dependencies,group,Africa,,,,,-20.0,47.0
Central America (Continental) (other),geographical_area,America,,,,,,
Northern Nigeria,country,Africa,4784,NorthernNigeria,,Q585408,9.8,6.15
Honduras,country,America,91,Honduras,,Q783,14.633333,-86.816667
Russia (Pacific Ports) & Russia and Siberia (land),group,Europe,,,,,,
Rwanda-Urundi & Zaire (Kinshasa) (Belgian Congo),group,Africa,,,,,-2.8121,26.777650000000005
Haiti & Venezuela,group,America,,Haiti_Venezuela,,,13.5,-69.9
Denmark & Faeroe Is. & Iceland,group,Europe,,Denmark_FaeroeIs._Iceland,,,60.989981481466664,-5.281493518533333
Dardanelles-Istanbul & Greece & Levant,group,World,,Dardanelles-Istanbul_Greece_Levant,,,39.754999999999995,25.980138888899997
Thailand (Siam) & Burma (Myanmar),group,Asia,,ThailandSiam_BurmaMyanmar,,,18.0,98.5
Dodecanese Is. (Aegean Is.) & Izmir (Smyrna),group,World,,DodecaneseIs.AegeanIs._IzmirSmyrna,,,36.373,27.218
Kanagawa,city/part_of,Asia,,Kanagawa,Japan,,,
Jérémie,city/part_of,America,,Jérémie,Haiti,,,
Malaysia East Coast,city/part_of,Asia,,MalaysiaEastCoast,Malaysia (Malaya),,,
Society Is.,country,Oceania,9601,SocietyIs.,,Q118920,-17.5333333333,-149.8333333333
Dutch Islands,colonial_area,World,,,Netherlands,,,
Mecklenburg Schwerin & Oldenburg,group,Europe,,MecklenburgSchwerin_Oldenburg,,,53.38635944445001,9.813879444449999
Singapore,country,Asia,830,Singapore,,Q334,1.3,103.8
French Equatorial Africa & French West Africa,group,Africa,,,,,5.112979665000001,4.8112076649999995
Odisha,city/part_of,Asia,,,India,,,
Palestine,country,Asia,665,Palestine,,Q219060,31.7790277778,35.2371111111
Argentina & Patagonia (Atlantic Coast),group,America,,,,,-34.0,-64.0
British West Indies & Guyana (Br. Guiana),colonial_area,America,,,United Kingdom,,,
Nossi Be,country,Africa,5801,NossiBe,,Q1330558,-13.3166666667,48.25
Portugal & Portuguese East Africa,group,World,,Portugal_PortugueseEastAfrica,,,38.7,-9.1833333333
Greece & Turkey & Romania,group,World,,,,,41.16666666666667,28.0
Central America,geographical_area,America,,CentralAmerica,,,,
Saint John River,city/part_of,America,,SaintJohnRiver,New Brunswick,,,
British West Africa,colonial_area,Africa,,BritishWestAfrica,United Kingdom,,,
Aden & Algeria & Egypt/United Arab Republic & Iran (Persia) & Morocco & Asian Turkey,group,World,,,,,25.522681745943885,29.672640475037202
Spain (Mediterranean Coast),city/part_of,Europe,,,Spain,,,
Brazil Ports,city/part_of,America,,,Brazil,,,
New Brunswick & Nova Scotia & Ontario (Upper Canada) & Prince Edward Is. & Quebec (Lower Canada),group,America,,NewBrunswick_NovaScotia_OntarioUpperCanada_PrinceEdwardIs._QuebecLowerCanada,,,48.88305613305613,-72.64726264726265
Iraq (Mesopotamia),country,Asia,645,IraqMesopotamia,,Q796,33,43
Guatemala & Mexico & Texas,group,America,,Guatemala_Mexico_Texas,,,23.166666666666664,-97.41666666666666
Bruxelles,city/part_of,Europe,,,Belgium,,,
Pacific Islands (other),geographical_area,Pacific,,PacificIslandsother,,,,
Denmark & Russia/USSR,group,Europe,,Denmark_RussiaUSSR,,,59.00000000000001,55.00000000000001
Fiume,country,Europe,3343,Fiume,,Q1647,45.3297222222,14.4322222222
Dunkirk,city/part_of,Europe,,Dunkirk,France,,,
Canary Is.,country,Africa,410,CanaryIs.,,Q5813,28.536,-15.749
German Ports (other),city/part_of,Europe,,,Germany (Zollverein),,,
Phuket Province & Thailand (Siam),group,Asia,,,,,14.0,101.0
Bahamas,country,America,31,Bahamas,,Q778,23.7,-76.4
Ellice Is.,city/part_of,Oceania,,,Gilbert and Ellice Is.,,,
Annaba (Bône),city/part_of,Africa,,,Algeria,,,
Svalbard Is.,country,Arctic,3386,,,Q25231,78,16
St. Lucia & Tobago,group,America,,,,,12.5666665,-60.83350000000001
Mexican East Coast,city/part_of,America,,MexicanEastCoast,Mexico,,,
Cochin China & Annam & Tonkin,group,Asia,,CochinChina_Annam_Tonkin,,,17.4829,108.11972333333334
Walvis Bay,country,Africa,5651,WalvisBay,,Q220843,-22.9494444444,14.5069444444
Bismarck Archipelago (New Britain) (Neupommern),city/part_of,Oceania,,,New Guinea (German New Guinea) (Kaiser Wilhelmsland),,,
Virgin Islands (Danish West Indies),country,America,5,,,Q829655,18.325,-64.835
New Orleans,city/part_of,America,,NewOrleans,United States of America,,,
Indian Transit,city/part_of,Africa,,,Egypt/United Arab Republic,,,
Scandinavia,geographical_area,Europe,,Scandinavia,,,,
Fiume & Trieste,group,Europe,,Fiume_Trieste,,,45.48291666665,14.118194444450001
Kurdistan,city/part_of,Asia,,Kurdistan,Turkey,,,
Jerusalem,city/part_of,Asia,,Jerusalem,Turkey,,,
British South America,colonial_area,America,,BritishSouthAmerica,United Kingdom,,,
Obock & Tadjoura,group,Africa,,Obock_Tadjoura,,,11.877500166650002,43.08833316665001
Red Sea,geographical_area,Red Sea,,RedSea,,,,
West Africa,geographical_area,Africa,,WestAfrica,,,,
Burma (Myanmar) & Malacca & Singapore,group,Asia,,BurmaMyanmar_Malacca_Singapore,,,8.500000000000002,100.68366666666665
Nauru & Western Samoa,group,Oceania,,,,,-7.266666666650001,-2.5333333333500008
Portuguese India (incl. Goa Diu Daman),country,Asia,752,PortugueseIndiaincl.GoaDiuDaman,,Q323904,14.701,71.169
Basra,city/part_of,Asia,,Basra,Iraq (Mesopotamia),,,
Portuguese Asia & Portuguese Oceania,group,World,,PortugueseAsia_PortugueseOceania,,,,
Southern Europe,geographical_area,Europe,,SouthernEurope,,,,
Russian China,colonial_area,Asia,,RussianChina,Russia/USSR,,,
Gibraltar & Spain,group,Europe,,Gibraltar_Spain,,,38.068875,-4.17268055555
Malawi (Nyasaland),country,Africa,553,MalawiNyasaland,,Q1020,-13,34
American America Is. & British America Is. & French America Is.,geographical_area,America,,,,,,
Guadeloupe,country,America,65,Guadeloupe,,Q17012,16.25,-61.5833333333
Clipperton I.,country,America,9610,ClippertonI.,,Q161258,10.2938888889,-109.2172222222
St. Barthelemy,country,America,1064,St.Barthelemy,,Q25362,17.897728,-62.8342438
Barbados,country,America,53,Barbados,,Q244,13.17,-59.5525
St. Marie de Madagascar,country,Africa,5803,St.MariedeMadagascar,,Q1321311,-16.8333333333,49.9166666667
Russian America,colonial_area,America,,RussianAmerica,Russia/USSR,,,
Hanse Towns & Prussia,group,Europe,,,,,53.19315,11.805949999999998
Indian Ocean Islands,geographical_area,Oceania,,IndianOceanIslands,,,,
Qatar,country,Asia,694,,,Q846,25.269535,51.212767
Koszalin,city/part_of,Europe,,Koszalin,Prussia,,,
Patagonia (Atlantic Coast),city/part_of,America,,,Argentina,,,
Netherlands Ports,city/part_of,Europe,,,Netherlands,,,
Sabah (North Borneo) & Sarawak,group,Asia,,,,,4.14402778,115.390555555
Pays de Gex,city/part_of,Europe,,,France,,,
Portugal & Spain,group,Europe,,Portugal_Spain,,,39.35,-6.09166666665
Algeria & Morocco,group,Africa,,,,,29.999999999999996,-2.5000000000000004
Ascension I. & St. Helena,group,Atlantic,,AscensionI._St.Helena,,,-11.946250000000001,-10.04236111115
Nagore,city/part_of,Asia,,Nagore,India,,,
Ionian Is. & Malta,group,Europe,,IonianIs._Malta,,,37.19166666665,17.5
Madura Island,city/part_of,Asia,,,Indonesia (Dutch East Indies),,,
British Africa & Gibraltar,group,World,,BritishAfrica_Gibraltar,,,36.13775,-5.3453611111
Cape Verde,country,Africa,402,CapeVerde,,Q1011,15.9166666667,-24.0833333333
Portuguese China,colonial_area,Asia,,,Portugal,,,
Christmas I.,country,Asia,9001,ChristmasI.,,Q31063,-10.4833333333,105.6333333333
British East Africa & Cape Colony & Egypt/United Arab Republic & Malagasy Republic (Madagascar),group,Africa,,BritishEastAfrica_CapeColony_EgyptUnitedArabRepublic_MalagasyRepublicMadagascar,,,-8.666666666666666,31.333333333333336
French Ports,city/part_of,Europe,,,France,,,
Tacna,city/part_of,America,,Tacna,Peru,,,
Aden & Aden Dependencies,group,Asia,,,,,12.8,45.0333333333
American Colonies,colonial_area,World,,,United States of America,,,
Captaincy-general of north Africa,country,Africa,6067,,,,,
South Africa,country,Africa,560,SouthAfrica,,Q258,-29,24
French Equatorial Africa,country,Africa,480,FrenchEquatorialAfrica,,Q271894,-4.26666667,15.28333333
Chile,country,America,155,Chile,,Q298,-33,-71
Haiti,country,America,41,Haiti,,Q790,19,-72.8
Livorno,city/part_of,Europe,,Livorno,Tuscany,,,
Banadir,city/part_of,Africa,,Banadir,Italian Somaliland,,,
Netherlands & Netherlands Dependencies,group,World,,,,,52.3166666667,5.55
Afghanistan,country,Asia,700,Afghanistan,,Q889,34,66
Bago (Pegu),city/part_of,Asia,,BagoPegu,Burma (Myanmar),,,
United States of America,country,America,2,UnitedStatesofAmerica,,Q30,38.895,-77.0366666667
World (via Lübeck),geographical_area,World,,WorldviaLubeck,,,,
Netherlands Dependencies,colonial_area,World,,,Netherlands,,,
Lombardy,city/part_of,Europe,,,Austria-Hungary,,,
China (People's Republic of China) & Hong Kong & Singapore,group,Asia,,ChinaPeople'sRepublicofChina_HongKong_Singapore,,,19.526111111099997,106.9862037037
Cephalonia,city/part_of,Europe,,Cephalonia,Greece,,,
Guatemala & Mexico,group,America,,Guatemala_Mexico,,,19.25,-96.125
Larnaca,city/part_of,Europe,,Larnaca,Turkey,,,
Tonkin,country,Asia,8153,Tonkin,,Q1858,21.0245,105.84117
Canada (Pacific Coast),city/part_of,America,,,Canada,,,
Hanover,country,Europe,240,Hanover,,Q1715,52.3744444444,9.7386111111
European Turkey,city/part_of,Europe,,EuropeanTurkey,Turkey,,,
United Kingdom & British Dependencies,group,World,,,,,54.6,-2.0
Kuria Muria Is.,country,Asia,6982,,,Q521176,17.5,56
Labuan I.,country,Asia,8231,LabuanI.,,Q214504,5.315894,115.219033
Zaire (Kinshasa) (Belgian Congo),country,Africa,490,ZaireKinshasaBelgianCongo,,Q974,-2.88,23.656
China (People's Republic of China) & French Indochina & Japan,group,Asia,,ChinaPeople'sRepublicofChina_FrenchIndochina_Japan,,,30.344444444433332,114.95
Baden,country,Europe,267,Baden,,Q6877935,49.01666667,8.4
Marseille,city/part_of,Europe,,Marseille,France,,,
Rangoon,city/part_of,Asia,,Rangoon,Burma (Myanmar),,,
Mariana Is. & Philippines,group,World,,MarianaIs._Philippines,,,14.066666665000001,134.375
Central America & Spanish America,geographical_area,America,,CentralAmerica_SpanishAmerica,,,,
China (People's Republic of China) & India & Pacific Islands,group,World,,ChinaPeople'sRepublicofChina_India_PacificIslands,,,28.500000000000004,90.0
Bangka Island,city/part_of,Asia,,,Indonesia (Dutch East Indies),,,
Honduras & Mexican East Coast,group,America,,Honduras_MexicanEastCoast,,,14.633333000000002,-86.816667
Mecklenburg Schwerin,country,Europe,280,MecklenburgSchwerin,,Q158445,53.62883,11.41387
Algeria & France & Morocco & Tunisia,group,World,,Algeria_France_Morocco_Tunisia,,,36.030905077262695,1.9139072847682115
British Antilles & United Kingdom,group,World,,BritishAntilles_UnitedKingdom,,,54.6,-2.0
Curacao & Dutch Windward Is. & Sint Eustatius,group,America,,Curacao_DutchWindwardIs._SintEustatius,,,15.8889,-64.98887777779998
Safi,city/part_of,Africa,,,Morocco,,,
Balkans,geographical_area,Europe,,Balkans,,,,
Somalia,country,Africa,520,Somalia,,Q1045,6,47
Arakan & Tanintharyi Region,group,Asia,,Aracan_TanintharyiRegion,,,,
Sabanilla,city/part_of,America,,Sabanilla,Colombia (Gran Colombia),,,
World,geographical_area,World,,World,,,,
Gibraltar & Newfoundland & United Kingdom,group,Europe,,Gibraltar_Newfoundland_UnitedKingdom,,,47.91258333333334,-22.448453703699997
South Africa & Botswana (Bechuanaland),group,Africa,,SouthAfrica_BotswanaBechuanaland,,,-25.6,23.85
Spanish North Africa Ports,city/part_of,Africa,,,Spain,,,
China (People's Republic of China) & Philippines & Thailand (Siam),group,Asia,,ChinaPeople'sRepublicofChina_Philippines_ThailandSiam,,,20.333333333333336,109.0
Guadeloupe & Martinique & Reunion,group,World,,Guadeloupe_Martinique_Reunion,,,3.2674074074333324,-22.35027777776667
Turkey (other),city/part_of,Asia,,Turkeyother,Turkey,,,
Patras & Pylos,group,Europe,,Patras_Pylos,,,,
Levant,geographical_area,Asia,,Levant,,,,
Buenos Aires,country,America,1161,BuenosAires,,Q1486,-34.5997222222,-58.3819444444
Australian Northern Territory,city/part_of,Oceania,,,Australia,,,
Galicia & Poland & Russian provinces,group,Europe,,Galicia_Poland_Russianprovinces,,,52.0,19.0
Piedmont & Tuscany,group,Europe,,Piedmont_Tuscany,,,43.35,11.0166666667
Cochin China & Kampuchea (Cambodia) & Tonkin,group,Asia,,CochinChina_KampucheaCambodia_Tonkin,,,16.193166666666666,107.26039000000003
Cayman Is.,country,America,1033,CaymanIs.,,Q5785,19.5,-80.5
St. Barthelemy & Virgin Islands (Danish West Indies) & French West Indies & Netherlands Antilles & Spanish Antilles,group,America,,,,,17.074242666666667,-64.5564146
Cochin China,country,Asia,8151,CochinChina,,Q505503,14.955,110.94
Odessa,country,Europe,3694,,,Q1874,46.47747,30.73262
Italian Colonies & Italy,group,World,,ItalianColonies_Italy,,,42.5,12.5
India & New South Wales & United Kingdom,group,World,,India_NewSouthWales_UnitedKingdom,,,14.866666666666669,74.0
Spanish Antilles (other),colonial_area,America,,SpanishAntillesother,Spain,,,
Viceroyalty of New Spain,country,America,1070,,,Q170603,27.732,-103.293
Pondicherry,city/part_of,Asia,,Pondicherry,French India,,,
Brunei & Sabah (North Borneo) & Sarawak,group,Asia,,Brunei_SabahNorthBorneo_Sarawak,,,4.229351853333333,115.11592603666666
Saudi Arabia (Nejd Wahabbid Empire),country,Asia,670,,,Q851,23.716667,44.116667
French India & French West Indies,group,World,,,,,11.9341,79.8306
El Jadida (Mazaghan),city/part_of,Africa,,,Morocco,,,
Kolkata (Calcutta) & Sri Lanka (Ceylon),group,Asia,,KolkataCalcutta_SriLankaCeylon,,,7.0,81.0
Congo (Brazzaville) (French Congo) (Middle Congo) & French West Africa (other) & Senegal,group,Africa,,CongoBrazzavilleFrenchCongoMiddleCongo_FrenchWestAfricaother_Senegal,,,6.808333500000001,0.5499987778
Sonmiani,city/part_of,Asia,,,Pakistan,,,
French Asia & French India & Portuguese Asia,group,Asia,,,,,11.9341,79.8306
Portuguese Europe,colonial_area,Europe,,PortugueseEurope,Portugal,,,
China (People's Republic of China) & Cochin China & Oceania,group,World,,ChinaPeople'sRepublicofChina_CochinChina_Oceania,,,24.977499999999996,106.96999999999998
Negri Sembilan,country,Asia,8210,NegriSembilan,,Q213893,2.75,102.25
Botswana (Bechuanaland) & Lesotho (Basutoland) & Swaziland,group,Africa,,,,,-26.077777666666666,27.794444333333338
French East Africa,colonial_area,Africa,,,France,,,
Manitoba,city/part_of,America,,Manitoba,Canada,,,
Azores (Western Isles) & Cape Verde & Madeira Isles,group,World,,AzoresWesternIsles_CapeVerde_MadeiraIsles,,,29.055555555566663,-23.02777777776667
Aden & other,group,World,,,,,12.8,45.0333333333
World (other than Kingdom of Sardinia (land)),geographical_area,Europe,,WorldotherthanKingdomofSardinialand,,,,
Patagonia (Pacific Coast),city/part_of,America,,,Chile,,,
Naples & Sicily,group,Europe,,,,,37.5999583333,14.0153777778
Portuguese Timor,country,Asia,860,PortugueseTimor,,Q142965,-8.55,125.583333
Denmark & Virgin Islands (Danish West Indies),group,World,,,,,37.1625,-27.417499999999997
Chittagong & Arakan & Tanintharyi Region,group,Asia,,,,,,
British East North America,colonial_area,America,,,United Kingdom,,,
India (Foreign produce),city/part_of,Asia,,,India,,,
Poland,country,Europe,290,Poland,,Q36,52,19
Zimbabwe (Rhodesia) (Southern Rhodesia),country,Africa,552,ZimbabweRhodesiaSouthernRhodesia,,Q750583,-19.0166666667,30.0166666667
Aceh,city/part_of,Asia,,Aceh,Indonesia (Dutch East Indies),,,
Hanover & Mecklenburg Schwerin & Oldenburg,group,Europe,,Hanover_MecklenburgSchwerin_Oldenburg,,,53.04905444443333,9.788789999999999
Riga,city/part_of,Europe,,Riga,Latvia,,,
Russia (North Ports),city/part_of,Europe,,,Russia/USSR,,,
Crete,country,Europe,351,Crete,,Q34374,35.3097222222,24.8933333333
New South Wales & South Australia & Tasmania & Victoria,group,Oceania,,NewSouthWales_SouthAustralia_Tasmania_Victoria,,,-34.666666666666664,143.0
Netherlands Antilles & West Irian (Dutch New Guinea),group,World,,NetherlandsAntilles_WestIrianDutchNewGuinea,,,4.999999999999999,35.0
Lucca & Modena & Papal States & Parma & Tuscany,group,Europe,,Lucca_Modena_PapalStates_Parma_Tuscany,,,43.6455880901131,11.159530663878613
Belgium & Luxemburg,group,Europe,,Belgium_Luxemburg,,,50.205555555550006,5.399027777800001
Mecca,city/part_of,Asia,,,Saudi Arabia (Kingdom of Hejaz and Nedj),,,
Bali & Lombok & Sumbawa,group,Asia,,Bali_Lombok_Sumbawa,,,-8.45,115.71952777780001
Niue I.,country,Oceania,9253,NiueI.,,Q34020,-19.05,-169.9166666667
Africa Ports (other),geographical_area,Africa,,,,,,
Spanish America,colonial_area,America,,SpanishAmerica,Spain,,,
Kiauchau,country,Asia,7220,Kiauchau,,Q489170,36.1234555556,120.2456388889
French Antilles,colonial_area,America,,FrenchAntilles,France,,,
Zambia (Northern Rhodesia),country,Africa,551,ZambiaNorthernRhodesia,,Q953903,-14.1166666667,27.6333333333
Germany & Poland,group,Europe,,,,,51.5,14.500000000000002
Porto Novo,country,Africa,4348,PortoNovo,,Q3799,6.4833333333,2.6166666667
Argentina (other),city/part_of,America,,Argentinaother,Argentina,,,
Russian North America,colonial_area,America,,RussianNorthAmerica,Russia/USSR,,,
Dalny & Korea (Chosen) & Vladivostok,group,World,,Dalny_KoreaChosen_Vladivostok,,,40.7166666667,129.56666666665
German Solomon Is.,country,Oceania,9401,,,Q21472116,-69.38111,76.16167
Straits Settlements,country,Asia,827,StraitsSettlements,,Q376178,1.3666666667,103.8
French Africa & French America & French Asia,group,World,,,,,,
Algeria & Morocco & Tunisia & Zanzibar,group,Africa,,Algeria_Morocco_Tunisia_Zanzibar,,,19.955555555566672,14.438888888900001
Panama (Pacific Coast),city/part_of,America,,,Panama,,,
Hong Kong,country,Asia,720,HongKong,,Q8646,22.2783333333,114.1586111111
Havana,city/part_of,America,,Havana,Cuba,,,
West Africa (other),geographical_area,Africa,,WestAfricaother,,,,
Cuba,country,America,40,Cuba,,Q241,22,-79.5
Northern Italy,city/part_of,Europe,,NorthernItaly,Italy,,,
other,,,,,,,,
Stralsund,city/part_of,Europe,,Stralsund,Prussia,,,
New Brunswick,country,America,1023,NewBrunswick,,Q1965,46.6,-66
British North America (other),colonial_area,America,,BritishNorthAmericaother,United Kingdom,,,
French China,colonial_area,Asia,,FrenchChina,France,,,
La Guaira,city/part_of,America,,,Venezuela,,,
Sri Lanka (Ceylon) & Sri Lanka (Ceylon) Dependencies,group,Asia,,,,,7.0,81.0
Sumbawa,city/part_of,Asia,,,Indonesia (Dutch East Indies),,,
World (via Germany (upper Elbe)),geographical_area,World,,WorldviaGermanyupperElbe,,,,
Yemen People's Republic,country,Asia,680,,,Q199841,12.8,45.0333333333
Indonesia (Dutch East Indies) (other) & Java,group,Asia,,IndonesiaDutchEastIndiesother_Java,,,,
Palermo,city/part_of,Europe,,Palermo,Sicily,,,
European Turkey & Romania,group,Europe,,EuropeanTurkey_Romania,,,46.0,25.0
India & Thailand (Siam),group,Asia,,India_ThailandSiam,,,18.0,89.0
Central Powers Occupied Territories,colonial_area,World,,,,,,
Two Sicilies,country,Europe,329,TwoSicilies,,Q180393,40.83333333,14.25
Falkland Is. & Falkland Is. Dependencies,group,World,,,,,-51.75,-59.00000000000001
Kingdom of Sardinia & Papal States & Two Sicilies,group,Europe,,KingdomofSardinia_PapalStates_TwoSicilies,,,40.93644444333333,11.894333333333334
Liberia,country,Africa,450,Liberia,,Q1014,6.533333,-9.75
Greece & Malta,group,Europe,,Greece_Malta,,,37.19166666665,18.75
Independant Indian Ocean Islands,geographical_area,Oceania,,IndependantIndianOceanIslands,,,,
Figueira,city/part_of,Europe,,Figueira,Portugal,,,
Crozet Is.,country,Oceania,9974,CrozetIs.,,Q201698,-46.388979,51.7053
Naples,city/part_of,Europe,,Naples,Two Sicilies,,,
Pacific Islands & Vanuatu (New Hebrides),geographical_area,Oceania,,PacificIslands_VanuatuNewHebrides,,,,
Australia & Oceania,group,Oceania,,Australia_Oceania,,,-28.0,137.0
Kingdom of Sardinia,country,Europe,325S,KingdomofSardinia,,Q165154,40.072,8.98
Mazatlán,city/part_of,America,,Mazatlán,Mexico,,,
Russian Turkestan,city/part_of,Europe,,,Russia/USSR,,,
Italy (other),city/part_of,Europe,,Italyother,Italy,,,
Puerto Rico & Spanish Antilles (other),group,America,,PuertoRico_SpanishAntillesother,,,18.25,-66.5
Saxe Meiningen,country,Europe,266,,,Q157710,50.5734,10.4155
Fanning I.,country,Oceania,9453,,,Q127335,3.86,-159.3644444444
Vanuatu (New Hebrides),country,Oceania,935,,,Q686,-16.6333305556,168.0166694444
Sunda Islands,city/part_of,Asia,,SundaIslands,Indonesia (Dutch East Indies),,,
Ireland & United Kingdom,group,Europe,,Ireland_UnitedKingdom,,,53.800000000000004,-5.0
Saxe Weimar,country,Europe,261,,,Q315667,50.9803,11.3291
North German Confederation,city/part_of,Europe,,NorthGermanConfederation,,,,
Spanish Colonies,colonial_area,World,,SpanishColonies,Spain,,,
Estonia,country,Europe,366,Estonia,,Q191,59,26
British Asia,colonial_area,Asia,,BritishAsia,United Kingdom,,,
Morocco,country,Africa,600,Morocco,,Q1028,32,-6
Shangai,city/part_of,Asia,,Shangai,China (People's Republic of China),,,
Mauritius & Mauritius Dependencies,group,World,,,,,-20.2,57.5
Texas,country,America,7,Texas,,Q1439,31,-100
British East Indies,colonial_area,Asia,,BritishEastIndies,United Kingdom,,,
Kenya (British East Africa Protectorate),country,Africa,501,KenyaBritishEastAfricaProtectorate,,Q114,0.1,38
European Turkey & Asian Turkey,group,World,,EuropeanTurkey_AsianTurkey,,,,
Cape Town,city/part_of,Africa,,CapeTown,Cape Colony,,,
British Oceania (other),colonial_area,Oceania,,BritishOceaniaother,United Kingdom,,,
Bokhara,country,Asia,7020,Bokhara,,Q746558,39.7747222222,64.4286111111
Java & Madura Island & Indonesia (Dutch East Indies) (other),group,Asia,,Java_MaduraIsland_IndonesiaDutchEastIndiesother,,,,
Brooketon,city/part_of,Asia,,Brooketon,Brunei,,,
Moldavia & Wallachia,group,Europe,,Moldavia_Wallachia,,,45.83333333335,27.308333500000003
Swan River,city/part_of,Oceania,,SwanRiver,Western Australia,,,
World (via Harburg & Lüneburg),geographical_area,World,,WorldviaHarburg_Lüneburg,,,,
Costa Rica & El Salvador & Guatemala,group,America,,CostaRica_ElSalvador_Guatemala,,,13.056296333333334,-87.70537033333333
Bengal & Sri Lanka (Ceylon),group,Asia,,Bengal_SriLankaCeylon,,,7.0,81.0
British Oceania & New Zealand,group,Oceania,,,,,-41.2,174.0
Russian Poland,city/part_of,Europe,,RussianPoland,Russia/USSR,,,
Arakan,city/part_of,Asia,,,Burma (Myanmar),,,
German Oceania & German China Leased Territory,group,World,,,,,,
Boston,city/part_of,America,,Boston,United States of America,,,
Germany & Saar,group,Europe,,Germany_Saar,,,50.188575,8.4391888889
Straits Settlements Dependencies,city/part_of,Asia,,,Straits Settlements,,,
Austria-Hungary Ports & Trieste,group,Europe,,,,,45.6361111111,13.8041666667
Austria-Hungary & Lombardy-Venetia,group,Europe,,Austria-Hungary_Lombardy-Venetia,,,48.2,16.35
Ho Chi Minh City,city/part_of,Asia,,HoChiMinhCity,French Indochina,,,
Peru,country,America,135,Peru,,Q419,-9.4,-76
Belgium & Germany & Italy & Netherlands & Russia/USSR,group,Europe,,Belgium_Germany_Italy_Netherlands_RussiaUSSR,,,52.19646964949634,38.714230064549646
Holstein & Schleswig,group,Europe,,Holstein_Schleswig,,,54.66668333335,9.458335
Russia (White Sea),city/part_of,Europe,,RussiaWhiteSea,Russia/USSR,,,
World (via Bremen & Lübeck),geographical_area,World,,WorldviaBremen_Lubeck,,,,
Río de Oro,city/part_of,Africa,,,Morocco,,,
Goree,country,Africa,4338,Goree,,Q244347,14.6669444444,-17.3983333333
Windward Is.,country,America,1055,WindwardIs.,,Q2660774,13.25,-61.2
New Guinea (German New Guinea) (Kaiser Wilhelmsland) & New Guinea (German New Guinea) (Kaiser Wilhelmsland) dependencies,group,World,,,,,-4.2149,152.1606
Russian provinces,city/part_of,Europe,,,Russia/USSR,,,
Antilles & East Indies,geographical_area,World,,Antilles_EastIndies,,,,
Altona & Wandsbeck,group,Europe,,Altona_Wandsbeck,,,,
