original_name,RICname
daressalam,Dar es Salaam
de badensiska tullexklaverna,Unknown
de brême et de lubeck,World (via Bremen & Lübeck)
de dansk-vestindiske øer,Virgin Islands (Danish West Indies)
de forenede stater,United States of America
de forenede stater af nord-amerika,United States of America
de forente stater,United States of America
de fremmede vestinidske øer,West Indies (other)
de harbourg et lunebourg,World (via Harburg & Lüneburg)
de l'elbe inférieur,World (via Germany (lower Elbe))
de l'elbe supérieur,World (via Germany (upper Elbe))
"de la isla de zanzibar de africa, pero comprendida en la misma legislacion",Zanzibar
de la pesca,***NA
de las pesca,***NA
de lubeck,World (via Lübeck)
de naufragios,***NA
de vestindiske öer,West Indies
deep sea cable,***NA
deep sea fisheries,***NA
delagoa bay,Maputo Bay (Delagoa Bay)
delegoa bay,Maputo Bay (Delagoa Bay)
delhi,Delhi
dem cap der guten hoffnung,Cape Colony (Cape of Good Hope)
dem caplande,Cape Colony (Cape of Good Hope)
dem kirchenstaate,Papal States
dem übrigen amerika,America (other)
dem übrigen asien,Asia (other)
dem übrigen westindien,West Indies (other)
"demás países y ""a órdenes""",World (other)
demas posesiones inglesas en europa,British Europe (other)
demerara,Demerara
demerara (british guiana),Demerara
demerary,Demerara
den azoren,Azores (Western Isles)
den bermudas-inseln,Bermuda
den canarien,Canary Is.
den canarien und azoren,Azores (Western Isles) & Canary Is.
den cap verd. inseln,Cape Verde
den falklands-inseln,Falkland Is.
den faröer,Faeroe Is.
den fischi- und freundschafts-inseln,Fiji & Tonga (Haʻapai)
den gesellschafts-inseln,Society Is.
den jonischen inseln,Ionian Is.
den kleinen antillen,Lesser Antilles
den la plata-staaten,Argentina (La Plata)
den marschall- schiffer-inseln,Marshall Is. & Samoa
den marschall-inseln,Marshall Is.
den molukken inseln,Maluku (Mollucas)
den niederlanden,Netherlands
den philippen,Philippines
den sandwich inseln,Hawaii (Sandwich Is.)
den schiffer-inseln,Samoa
den übrigen südsee-inseln,Pacific Islands (other)
den vereinigten staaten,United States of America
den vereinigten staaten (excl. californien),United States of America (other)
denemarken,Denmark
denemarken en ijsland,Denmark & Iceland
denmark,Denmark
denmark (including faroe islands),Denmark & Faeroe Is.
denmark (including faroë islands),Denmark & Faeroe Is.
denmark (including faroe islands)* and iceland and greenland (denmark),Denmark & Faeroe Is. & Greenland & Iceland
denmark (including faroe islands)* iceland and greenland,Denmark & Faeroe Is. & Greenland & Iceland
denmark (including faroe islands)* iceland and greenland),Denmark & Faeroe Is. & Greenland & Iceland
denmark (including iceland and greenland),Denmark & Greenland & Iceland
denmark (including iceland and the faroe islands),Denmark & Faeroe Is. & Iceland
denmark (including iceland and the raroe islands),Denmark & Faeroe Is. & Iceland
denmark and danish west indies,Denmark & Virgin Islands (Danish West Indies)
denmark and dependencies,Denmark & Faeroe Is. & Greenland & Iceland
denmark and duchies of sleswick and holstein,Denmark & Holstein & Schleswig
denmark and faroe,Denmark & Faeroe Is.
denmark and iceland,Denmark & Iceland
denmark and norway,Denmark & Norway
denmark and the duchies of sleswick and holstein,Denmark & Holstein & Schleswig
denmark iceland and faroe islands,Denmark & Faeroe Is. & Iceland
denmark iceland and the faroe islands),Denmark & Faeroe Is. & Iceland
denmark iceland and the raroe islands,Denmark & Faeroe Is. & Iceland
denmark proper,Denmark
"denmark, st.thomas",St. Thomas
dépendances de maurice,Mauritius Dependencies
dépendances maurice,Mauritius Dependencies
dependencies of mauritius,Mauritius Dependencies
der capstadt,Cape Colony (Cape of Good Hope)
der capstadt und guinea,Cape Colony (Cape of Good Hope) & Guinea (French Guinea) (Rivieres du Sud)
der europäischen türkei,European Turkey
der europäischen türkei und rumänien,European Turkey & Romania
"der europäischen türkei, bulgarien etc.",Bulgaria & European Turkey
der levante,Levant
der moldau,Moldavia
der moldau und aegypten,Egypt Arab Republic (Egypt) & Moldavia
der rheinprovinz,Rhineland
der süd-see,Pacific Islands
der türkei,Turkey (Ottoman Empire)
der türkei und griechenland,Greece & Turkey (Ottoman Empire)
der wallachei,Wallachia
der weser,Bremen (Weser)
desolation island,Clipperton I.
destination unknown,Unknown
destination unknown (admirality),Unknown
destinazioni varie,World (other)
destino ignorado,Unknown
destino indeterminado,Unknown
det europæiske tyrki,European Turkey
det serbisk-kroatisk-slovenske rike,"Yugoslavia (Kingdom of Serbs, Croats and Slovenes)"
détroits,Straits Settlements
"détroits (etablissements des), etc.",Straits Settlements
deu,Germany (Zollverein)
deustches reich,Germany (Zollverein)
deutsch australien,New Guinea (German New Guinea) (Kaiser Wilhelmsland)
deutsch neuguinea,New Guinea (German New Guinea) (Kaiser Wilhelmsland)
deutsch ostafrika,German East Africa
deutsch südwestafrika,Namibia (South West Africa) (German South West Africa)
deutsch südwestafrika et kamerun et togo,German Togoland & Kamerun & Namibia (South West Africa) (German South West Africa)
deutsch westafrika,German Western Africa
deutsche freihafen,Bremen & Hamburg
deutsche freihasen,Bremen & Hamburg
deutsches reich,Germany (Zollverein)
deux siciles,Two Sicilies
deux-siciles,Two Sicilies
deux-siciles (naples),Naples
deux-siciles (palerme),Palermo
deux-siciles (royaume de naples),Two Sicilies
deux-siciles**,Two Sicilies
diarbekir,Diyarbakir
didzioji britanija,United Kingdom
diégo-suarez,Antsiranana (Diego-Suarez)
dienvidafrika,South Africa
dienvidrietumu afrika,Southern Africa (other)
dienvidrodezija,Zimbabwe (Rhodesia) (Southern Rhodesia)
dienvidslavija,"Yugoslavia (Kingdom of Serbs, Croats and Slovenes)"
diğer,World (other)
diger memleketler,World (other)
dinamarca,Denmark
dínamarca,Denmark
dinamarca y rusia,Denmark & Russia (USSR)
divers pays,World (other)
divers ports prusse,Prussia
diverse,World (other)
diversos paises,World (other)
diversos países,World (other)
"diversos paises (chile, costa rica, cuba, dantzig, equador, estonia, grécia, guatemala, haiti, havai, honduras, jugo-slavia, japao, méxico, pérsia, peru, roménia, tcheco-slovaquia, tcheco-slovaquia, etc…)",World (other)
"diversos paises (chile, costa rica, cuba, equador, grécia, guatemala, haiti, havai, honduras, japao, méxico, pérsia, peru, românia, zanzibar, etc.)",World (other)
"diversos paizes: bulgaria, chili, equador, grecia, guatemala, haiti, japão, mexico, persia, perú, roumania, zanzibar)",World (other)
djeddah,Jeddah
djibouti,Djibouti (Afar and Issas) (French Somaliland)
djibouti and obokh,Djibouti (Afar and Issas) (French Somaliland) & Obock
dodecanese,Dodecanese Is. (Aegean Is.)
dodécanèse,Dodecanese Is. (Aegean Is.)
dodecaneso,Dodecanese Is. (Aegean Is.)
dodecanneso,Dodecanese Is. (Aegean Is.)
dodekanesia,Dodecanese Is. (Aegean Is.)
dohomej,Benin (Dahomey)
domingo-republikken,Dominican Republic (Santo Domingo)
domingo-republikken ; jamaica ; andre brit. besiddelser ; bes. tilh. de forente st. ; franske besiddelser ; nederlandske besiddelser,American America & British America & Dutch America & French America
dominica,Dominica
dominica (british west india islands),Dominica
dominica (leeward islands - west india islands),Dominica
dominicaansche republiek,Dominican Republic (Santo Domingo)
dominicaine (république),Dominican Republic (Santo Domingo)
dominican republic,Dominican Republic (Santo Domingo)
dominican republic (santo domingo),Dominican Republic (Santo Domingo)
dominicana,Dominica
dominikana republika,Dominican Republic (Santo Domingo)
dominikanas republika,Dominican Republic (Santo Domingo)
dominikanische republik,Dominican Republic (Santo Domingo)
dominikanischen republik,Dominican Republic (Santo Domingo)
dominikańska republika,Dominican Republic (Santo Domingo)
dominikanska republiken,Dominican Republic (Santo Domingo)
dominikonu respublika,Dominican Republic (Santo Domingo)
dominion of canada,Canada (Province of Canada)
dominion of canada (total),Canada (Province of Canada)
dominion of canada and newfoundland,Canada (Province of Canada) & Newfoundland and Labrador (Newfoundland)
"dominion of canada, and other british north american provinces",British Northern America (other) & Canada (Province of Canada)
dominion of canada. nova scotia,Nova Scotia
dominion of canada. other parts,Canada (Province of Canada) (other)
"dominion of canada. st. john's, n.b.",Newfoundland and Labrador (Newfoundland)
dominion of cananda and other british north american possessions,British Northern America (other) & Canada (Province of Canada)
dominion of new zealand,New Zealand
dominique (la),Dominica
donau-vorstendommen,Romania
donaulandene,Romania
dos sicilias,Two Sicilies
dramblio kaulo krantas,Ivory Coast
drz sp st am v asii a oceanii,American Asia & American Oceania
du schleswig-holstein,World (via Holstein & Schleswig)
du schleswig-holstein et par altona,World (via Altona & Holstein & Schleswig)
duala,Douala
duas secilias,Two Sicilies
"ducati - parma, piacenza, modena, toscana e monaco",Modena & Monaco & Parma & Tuscany
duch antilles,Netherlands Antilles
duchés de holstein excepté transit pa kiel,Holstein
duchés de parme modène et toscane,Modena & Parma & Tuscany
duchés de saxe,Saxe Altenburg & Saxe Coburg and Gotha & Saxe Meiningen & Saxe Weimar
duchés de schleswig,Schleswig
duchés de schleswig holstein,Holstein & Schleswig
duchés elbe par altona,Holstein & Schleswig
duitsch oost-afrika,Dutch Eastern Africa
duitsch zuid-west-afrika,Dutch South Western Africa
duitschland,Germany (Zollverein)
duitsland,Germany (Zollverein)
dunkerque,Dunkirk
dutch borneo,Dutch Borneo
dutch borneo (dutch east indies),Dutch Borneo
dutch borneo (holland),Dutch Borneo
dutch borneo (netherlands),Dutch Borneo
dutch colonies,Dutch Colonies
dutch east india islands,Indonesia (Dutch East Indies)
dutch east indies,Indonesia (Dutch East Indies)
dutch east indies (indonesia),Indonesia (Dutch East Indies)
dutch east inides,Indonesia (Dutch East Indies)
dutch guiana,Surinam (Dutch Guiana)
dutch guiana (holland),Surinam (Dutch Guiana)
dutch guiana (netherlands),Surinam (Dutch Guiana)
dutch india,Indonesia (Dutch East Indies)
dutch indies,Indonesia (Dutch East Indies) & Netherlands Antilles
dutch new guinea,West Irian (Dutch New Guinea)
dutch new guinea (holland),West Irian (Dutch New Guinea)
dutch new guinea (netherlands),West Irian (Dutch New Guinea)
dutch new guinea and other dutch possessions in the indian seas,West Irian (Dutch New Guinea) & Dutch Oceania (other)
dutch ports,Netherlands (other)
dutch possessions,Dutch Colonies
dutch possessions in asia,Dutch Asia
dutch possessions in borneo†,Dutch Borneo
dutch possessions in borneo† (holland),Dutch Borneo
dutch possessions in india,Dutch India
dutch possessions in indian seas,Indonesia (Dutch East Indies)
dutch possessions in new guinea†,West Irian (Dutch New Guinea)
dutch possessions in the far east,Indonesia (Dutch East Indies)
dutch possessions new guinea† (holland),West Irian (Dutch New Guinea)
dutch possessions on the gold coast,Dutch Posts (Gold Coast)
dutch possessions on the gold coast (holland),Dutch Posts (Gold Coast)
"dutch possessions, other",Dutch Colonies (other)
dutch west india islands,Netherlands Antilles
dutch west india islands (holland),Netherlands Antilles
dutch west india islands (netherlands),Netherlands Antilles
dutch west indies,Netherlands Antilles
dutch west indies : curacoa (holland),Curacao
dutch west indies (curacao),Curacao
dutch west indies (curacoa )(holland),Curacao
dutch west indies (curaçoa),Curacao
"dutch west indies (st. martin, south part, st. eustatius, and curacoa )(holland)",Curacao & Dutch Windward Is. & Sint Eustatius
dutch west indies and american colonies,American Colonies & Netherlands Antilles
dutch west indies and dutch guiana,Netherlands Antilles & West Irian (Dutch New Guinea)
dutch west indies and dutsch guiana,Netherlands Antilles & West Irian (Dutch New Guinea)
dutch west indies and guiana,Netherlands Antilles & West Irian (Dutch New Guinea)
dutch west indies: curacoa (holland),Curacao
dutch west indies. curaçoa,Curacao
dutch west indies. except sumatra and java,Indonesia (Dutch East Indies) (other)
dutiable packages,***NA
dutiable packets from all countries,***NA
dzilberta un ellice salas,Gilbert and Ellice Is.
e.u. de norte america,United States of America
east africa,Eastern Africa
east africa - other territories under british influence,British Eastern Africa
east africa - zanzibar and pemba,Pemba Island & Zanzibar
east africa - zanzibar and pemba (protectorate of),Pemba Island & Zanzibar
east africa : east africa protectorate,Kenya (British East Africa Protectorate)
east africa : east africa protectorate and uganda protectorate,Kenya (British East Africa Protectorate) & Uganda
east africa : nyasaland protectorate,Malawi (Nyasaland) (British Central Africa Protectorate)
east africa : uganda protectorate,Uganda
east africa : zanzibar and pemba,Pemba Island & Zanzibar
east africa other territories under british influence,British Eastern Africa
east africa portugal,Mozambique (Portuguese East Africa)
east africa protectorate,Kenya (British East Africa Protectorate)
east africa protectorate (including zanzibar),Kenya (British East Africa Protectorate) & Zanzibar
east africa protectorate and british central africa protectorate,Kenya (British East Africa Protectorate) & Malawi (Nyasaland) (British Central Africa Protectorate)
east african protectorate,Kenya (British East Africa Protectorate)
east british africa,British Eastern Africa
east coast of africa,Eastern Africa
east indes (except ceylon),East Indies (other)
east india,East Indies
east india company's territories and ceylon,East India Company & Sri Lanka (Ceylon)
east indies,East Indies
east indies (dutch),Indonesia (Dutch East Indies)
east indies (except ceylon),East Indies (other)
east indies (total),East Indies
east indies & siam & philippines islands,East Indies & Philippines & Thailand (Siam)
east indies and other parts of asia,Asia (other) & East Indies
east indies and siam,East Indies & Thailand (Siam)
east indies britan.,British East Indies
"east indies, china, etc",Asia (other) & East Indies
"east indies, china, etc.",Asia (other) & East Indies
"east indies, siam",East Indies & Thailand (Siam)
east london,East London
eastern africa : native states,Eastern Africa (other)
eastern africa : native states†,Eastern Africa (other)
eastern africa (extending from the colonial territory of the natal to the limits of abyssinia),Eastern Africa (other)
eastern africa (native states),Eastern Africa (other)
eastern africa: native states,Eastern Africa (other)
eastern coast of africa,Eastern Africa
eastern coast of africa - zanzibar and pemba (protectorate of),Pemba Island & Zanzibar
eastern coast of africa (from the british possessions in south africa to the straits of bab-el-mandeb),Eastern Africa (other)
eastern coast of africa other territories under british influence,British Eastern Africa (other)
"eastern coast, cape colony, madagascar, &c.",British Eastern Africa & Cape Colony (Cape of Good Hope) & Madagascar (Malagasy Republic)
"eastern coast, cape colony, madagascar, &c. and egypt",British Eastern Africa & Cape Colony (Cape of Good Hope) & Egypt Arab Republic (Egypt) & Madagascar (Malagasy Republic)
eats-unis,United States of America
ecuador,Ecuador
ee.uu. del norte,United States of America
egeiska oarna,Dodecanese Is. (Aegean Is.)
egijpte,Egypt Arab Republic (Egypt)
egipat,Egypt Arab Republic (Egypt)
egipt,Egypt Arab Republic (Egypt)
egipte,Egypt Arab Republic (Egypt)
egipto,Egypt Arab Republic (Egypt)
egípto,Egypt Arab Republic (Egypt)
egiptus,Egypt Arab Republic (Egypt)
egito,Egypt Arab Republic (Egypt)
egitto,Egypt Arab Republic (Egypt)
egjypt,Egypt Arab Republic (Egypt)
egy,Egypt Arab Republic (Egypt)
egy. afr. franczia b.,French Africa (other)
egyéb afrikai franczia birtokok,French Africa (other)
egyiptom,Egypt Arab Republic (Egypt)
egypt,Egypt Arab Republic (Egypt)
eğypt,Egypt Arab Republic (Egypt)
egypt (including the transit from india),Egypt Arab Republic (Egypt)
"egypt (mediterranean ports, including the transit from india etc.)",Egypt Arab Republic (Egypt) (other)
"egypt (mediterranean ports, including the transit from india, &c.)",Egypt Arab Republic (Egypt) (other)
egypt (ports on the mediterranean),Egypt Arab Republic (Egypt) (other)
egypt (turkey in africa),Egypt Arab Republic (Egypt)
egypt and anglo-egyptian sudan,Egypt Arab Republic (Egypt) & Sudan (Anglo-Egyptian Sudan) (Mahdist State)
egypt and sudan,Egypt Arab Republic (Egypt) & Sudan (Anglo-Egyptian Sudan) (Mahdist State)
egypt and tripoli(turkey in africa),Egypt Arab Republic (Egypt) & Tripolitania (Regency of Tripoli)
egypt*,Egypt Arab Republic (Egypt)
egypt†,Egypt Arab Republic (Egypt)
egypt‡,Egypt Arab Republic (Egypt)
egyptaland,Egypt Arab Republic (Egypt)
egypte,Egypt Arab Republic (Egypt)
égypte,Egypt Arab Republic (Egypt)
egypte (adana et tarsous),Adana & Tarsus
egypte (alep-alexandrette),Aleppo & Alexandretta
egypte (alep-lattaquie),Aleppo & Latakia (Alaouites)
egypte (alep),Aleppo
"egypte (alexandrie, djeddah, damiette et rosette)",Alexandria & Damietta & Jeddah & Rosetta
egypte (alexandrie),Alexandria
egypte (beyrout),Beirut
egypte (candie),Crete
egypte (djeddah),Jeddah
egypte (la canée),Chania
egypte (port d'alexandrie),Alexandria
egypte (syrie),Syria
"egypte (tarsous, province d'adana)",Tarsus
egypte (tarsous),Tarsus
egypte (tripoli),Tripoli (Syria)
egypte en egyptisch deel van soedan,Egypt Arab Republic (Egypt) & Sudan (Anglo-Egyptian Sudan) (Mahdist State)
egypte et candie,Crete & Egypt Arab Republic (Egypt)
egypte et dépandances,Egypt Arab Republic (Egypt) & Egypt Arab Republic (Egypt) Dependencies
egypte et dépendances,Egypt Arab Republic (Egypt) & Egypt Arab Republic (Egypt) Dependencies
égypte et dépendances,Egypt Arab Republic (Egypt) & Egypt Arab Republic (Egypt) Dependencies
egypte et régences barbaresques,Barbary Coast & Egypt Arab Republic (Egypt)
egypte et soudan anglo-egyptien,Egypt Arab Republic (Egypt) & Sudan (Anglo-Egyptian Sudan) (Mahdist State)
egypte et syrie,Egypt Arab Republic (Egypt) & Syria
égypte et syrie,Egypt Arab Republic (Egypt) & Syria
egypte et syrie (alexandrie),Alexandria & Egypt Arab Republic (Egypt)
egypte et syrie (beyrout),Beirut & Egypt Arab Republic (Egypt)
egypte et syrie (candie),Crete & Egypt Arab Republic (Egypt)
egypte et syrie (egypte),Egypt Arab Republic (Egypt)
egypte et syrie (syrie),Syria
egypte et syrie et caramanie (beyrout),Beirut & Egypt Arab Republic (Egypt) & Syria
egypte-alexandrie,Alexandria
"egypte, enz.",Egypt Arab Republic (Egypt)
egypte**,Egypt Arab Republic (Egypt)
egyptea,Egypt Arab Republic (Egypt)
egypten,Egypt Arab Republic (Egypt)
egypten och british-egyptian sudan,Egypt Arab Republic (Egypt) & Sudan (Anglo-Egyptian Sudan) (Mahdist State)
egypten og british-egyptian sudan,Egypt Arab Republic (Egypt) & Sudan (Anglo-Egyptian Sudan) (Mahdist State)
egypto,Egypt Arab Republic (Egypt)
egyptom,Egypt Arab Republic (Egypt)
eire,Ireland
eismeer und nicht ermittelte lander,World (other)
ejipto,Egypt Arab Republic (Egypt)
ekvadora,Ecuador
ekvadoras,Ecuador
ekvatoriala afrika,Equatorial Africa
ekwador,Ecuador
"el hedjaz, and ports on the euphrates or the persian gulf (turkey)",Hejaz Sultanate & Turkey (Ottoman Empire) (other)
"el hedjaz, and ports on the euphrates ot the persian gulf (turkey)",Hejaz Sultanate & Turkey (Ottoman Empire) (other)
el salvador,El Salvador
elbe supérieur et affluens (commerce de terre),Elbe
elfenbenkusten,Ivory Coast
ellers,World (other)
ellice islands,Ellice Is.
elobey,Elobey Is.
elsass-lothringen,Alsace Lorraine
elvetia,Switzerland
"elvetia, spania, suedia si norvegia, statele americel",Norway & Spain & Sweden & Switzerland & United States of America
empire autriche,Austria-Hungary (Austrian Empire)
empire d'allemagne,Germany (Zollverein)
empire d'allemgne,Germany (Zollverein)
empire ottoman,Turkey (Ottoman Empire)
enclave de cabinda,Cabinda (Portuguese Congo)
enclaves (territoire de lubeck),Lübeck
engelsch america,British America
engelsch-amerika,British America
engelsch-egyptische soedan,Sudan (Anglo-Egyptian Sudan) (Mahdist State)
engelsch-indië,India
engelsche oost indische bezittingen,British East Indies
engelsk-egyptisk sudan,Sudan (Anglo-Egyptian Sudan) (Mahdist State)
engelsk-egyptisk sudan ; etiopia ; britiske områder ; fransk somalkyst ; erytrea og ital. somalk,Djibouti (Afar and Issas) (French Somaliland) & Ethiopia (Abyssinia) & Eritrea & Italian Somaliland & Sudan (Anglo-Egyptian Sudan) (Mahdist State)
engl-agypt sudan,Sudan (Anglo-Egyptian Sudan) (Mahdist State)
england,United Kingdom
"england, man, and berwick",Berwick & Isle of Man & United Kingdom
englisch-agyptischer sudan,Sudan (Anglo-Egyptian Sudan) (Mahdist State)
english america,British America
english channel,English Channel
english channel (for orders),English Channel
english east indies,British East Indies
english india,India
english indies,India
englitera,United Kingdom
ensemble,World
ensemble des possessions danoises,Danish Colonies
entrepôt de hong kong,Hong Kong
entrepôt de singapour,Singapore
entrepôts de france,French Entrepôts
entrepôts france,French Entrepôts
enz. br. en fr. bez. in z.-amerika,British Southern America & French Southern America
enz. new-foundland,Newfoundland and Labrador (Newfoundland)
epaves et sauvetages,***NA
equador,Ecuador
equateur,Ecuador
equateur (guayaquil),Guayaquil
equateur**,Ecuador
equatore,Ecuador
erithrea en it. somaliland,Eritrea & Italian Somaliland
eritrea,Eritrea
eritrea (italy),Eritrea
eritreja,Eritrea
erythrea a italske somalsko,Eritrea & Italian Somaliland
erythrea en fransch somaliland,Djibouti (Afar and Issas) (French Somaliland) & Eritrea
"erythrea, somaliland",Eritrea & Italian Somaliland
erythree,Eritrea
erythrée,Eritrea
erytrea,Eritrea
erytrea og ital. somalkyst,Eritrea & Italian Somaliland
erzeroum,Erzurum
escocia,Scotland
esp,Spain
espagne,Spain
espagne (+canaries),Canary Is. & Spain
espagne (bilbao),Bilbao
espagne (cadix),Cadix
espagne (carthagène),Cartagena (Spain)
espagne (catalogne),Catalonia
espagne (corogne),A Coruna
espagne (gijon),Gijón
espagne (iles baléares),Balearic Islands
espagne (îles baléares),Balearic Islands
espagne (iles canaries),Canary Is.
espagne (la corogne),A Coruna
espagne (malaga),Málaga
"espagne (murcie, port de cartagena)",Cartagena (Spain)
espagne (péninsule + ile de cuba),Cuba & Spain
espagne (plus colonies),Spain & Spanish Colonies
espagne (saint-sébastien),San Sebastián
espagne (san sebastian),San Sebastián
espagne (santander),Santander
espagne (valence),Valencia
espagne et canaries,Canary Is. & Spain
espagne et colonies,Spain & Spanish Colonies
espagne et cuba,Cuba & Spain
espagne et gibraltar,Gibraltar & Spain
espagne et iles adjacentes,Spain
espagne et îles adjacentes,Spain
espagne et les îles canaries,Canary Is. & Spain
espagne et portugal,Portugal & Spain
espagne et possessions,Spain & Spanish Colonies
espagne et ses colonies,Spain & Spanish Colonies
espagne et ses iles,Canary Is. & Spain
espagne et ses possessions,Spain & Spanish Colonies
espagne péninsule,Spain
espagne sous pavillon espagnol,Spain (Spanish flag)
espagne sous pavillon étranger,Spain (Foreign flag)
espagne-cadix,Cadix
"espagne, colonies espagnoles et gibraltar",Gibraltar & Spain & Spanish Colonies
"espagne, iles canaries",Canary Is. & Spain
"espagne, indes occid. espagnoles",Spain & Spanish West Indies
"espagne, madère, danemark",Denmark & Madeira Isles & Spain
"espagne, portugal",Portugal & Spain
espagne**,Spain
espahna,Spain
espana,Spain
españa,Spain
espana & islas canarias,Canary Is. & Spain
espana i sus colonias,Spain & Spanish Colonies
espana y colonias,Spain & Spanish Colonies
espana y sus colonias,Spain & Spanish Colonies
españa y sus colonias,Spain & Spanish Colonies
espanha,Spain
espanha possessoes,Spanish Colonies
est africain anglais,British Eastern Africa
est. de los estrechos,Straits Settlements
estabelecimentos do estreito,Straits Settlements
estabelecimentos dos estreitos,Straits Settlements
establec. de los estrechos,Straits Settlements
establec. estrech,Straits Settlements
establecimiento del estrecho,Straits Settlements
establecimientos de los estrechos,Straits Settlements
establecimientos del estrecho,Straits Settlements
establissements français en océanie,French Polynesia
estado libre del congo,Democratic Republic of the Congo (Zaire) (Kinshasa) (Belgian Congo) (Congo Free State)
estado livre do congo,Democratic Republic of the Congo (Zaire) (Kinshasa) (Belgian Congo) (Congo Free State)
estado oriental,Uruguay
estados livre do congo,Democratic Republic of the Congo (Zaire) (Kinshasa) (Belgian Congo) (Congo Free State)
estados pontificios,Papal States
estados pontificos,Papal States
estados unidos,United States of America
estados unidos a,United States of America
estados unidos b,USA B
estados unidos da america,United States of America
estados unidos da américa,United States of America
estados unidos de colombia,Colombia (New Granada) (Gran Colombia)
estados unidos de norte-américa,United States of America
estados unidos del norte,United States of America
estados unidos do brasil,Brazil
estados unidos do brazil,Brazil
estados-unidos,United States of America
estados-unidos de america,United States of America
estados-unidos de norte america,United States of America
estern coast of afirca-other territories under british influence,British Eastern Africa
esthland,Estonia
esthonia,Estonia
esthonie,Estonia
estija,Estonia
estland,Estonia
estonia,Estonia
estȯnia,Estonia
estȏnia,Estonia
estonia y letonia,Estonia & Latvia
estonie,Estonia
estonja,Estonia
estonsko,Estonia
esz.-am. egy.-áll.,United States of America
eszak-am. egy.-all,United States of America
eszak-am. egy.-allamok,United States of America
eszak-am. egyesült-all,United States of America
észak-amerikai egyesült-államok,United States of America
etablissement français en océanie,French Polynesia
etablissements anglais du détroit,Straits Settlements
etablissements des détroits,Straits Settlements
etablissements des détroits et etats malais,Malaysia (British Malaya) & Straits Settlements
etablissements français dans l'inde,French India
etablissements français dans l'inde (karikal),Karaikal
etablissements français dans l'inde (mahé),Mahé
etablissements français dans l'inde (pondichéry),Pondicherry
etablissements français dans l'inde (yanaon),Yanaon
etablissements français dans l'océanie,French Polynesia
etablissements français dans le golfe de guinée,Assinie & Grand-Bassam
etablissements français de l'océanie,French Polynesia
etablissements français de la côte des somalis,Djibouti (Afar and Issas) (French Somaliland)
etablissements français de la côte occidentale d'afrique,French West Africa
etablissements français du golfe de guinée,Assinie & Grand-Bassam
etablissements français du golfe guinée,Assinie & Grand-Bassam
etablissements français en océanie,French Polynesia
établissements français en océanie,French Polynesia
"etablissements français en océanie, autres",French Oceania (other)
etat allemand,Germany (Zollverein)
etat du congo,Democratic Republic of the Congo (Zaire) (Kinshasa) (Belgian Congo) (Congo Free State)
etat indépendant du congo,Democratic Republic of the Congo (Zaire) (Kinshasa) (Belgian Congo) (Congo Free State)
etat libre d'irlande,Ireland
etat libre du kongo,Democratic Republic of the Congo (Zaire) (Kinshasa) (Belgian Congo) (Congo Free State)
etat oriental,Uruguay
état oriental de l'uruguay,Uruguay
etats allemands,Germany (Zollverein)
etats autrichiens,Austria-Hungary (Austrian Empire)
etats barbaresques,Barbary Coast
états barbaresques,Barbary Coast
"etats barbaresques (régence de tripoli, tunisie et maroc)",Barbary Coast
etats confédération hors zollverein,German Confederation (other)
etats d'allemagne,Germany (Zollverein)
états d'allemagne,Germany (Zollverein)
etats d'amérique du nord,Northern America
etats d'italie,Italy
etats de l'amérique,United States of America
etats de l'amérique centrale,Central America
etats de la méditerranée,Mediterranean Sea
etats de la plata,Argentina (La Plata)
états de la plata,Argentina (La Plata)
etats de lucques,Lucca
etats du rio de la plata,Argentina (La Plata)
etats inconnus,World (other)
etats italiens,Italy
etats malais,Malaysia (British Malaya)
etats malais britanniques,Malaysia (British Malaya)
etats pontificaux,Papal States
etats romains,Papal States
etats romains (ancone),Ancona
etats romains (civita-vecchia),Civitavecchia
etats romains (civitavecchia),Civitavecchia
etats romains et lucques,Lucca & Papal States
etats romains**,Papal States
etats sardes,Kingdom of Sardinia
états sardes,Kingdom of Sardinia
etats sardes (gênes),Genoa
etats sardes (ile de sardaigne),Sardinia
états sardes (île de sardaigne),Sardinia
etats sardes (terre ferme),Kingdom of Sardinia (continental)
états sardes (terre ferme),Kingdom of Sardinia
états sardes (terre),Kingdom of Sardinia (continental)
etats sardes de terre ferme,Kingdom of Sardinia (continental)
etats sardes et gênes,Genoa & Kingdom of Sardinia
etats sardes et toscane,Kingdom of Sardinia & Tuscany
etats sardes- gênes,Genoa
"etats sardes, etats romains et deux-siciles",Kingdom of Sardinia & Papal States & Two Sicilies
etats sardes**,Kingdom of Sardinia
etats turcs,Turkey (Ottoman Empire)
etats turcs (y compris egypte et dépendances),Egypt Arab Republic (Egypt) & Egypt Arab Republic (Egypt) Dependencies & Turkey (Ottoman Empire)
etats turcs (y compris l'egypte et ses dépendances),Egypt Arab Republic (Egypt) & Egypt Arab Republic (Egypt) Dependencies & Turkey (Ottoman Empire)
etats unis,United States of America
etats_unis,United States of America
etats-barbaresques et côte d'afrique,Africa Coast & Barbary Coast
etats-romains,Papal States
états-romains,Papal States
états-romains (ancône),Ancona
états-romains (civita-vecchia),Civitavecchia
états-romains (sauf ancône),Papal States (other)
"etats-romains, lucques, monaco",Lucca & Monaco & Papal States
etats-sardes,Kingdom of Sardinia
etats-sardes et monaco,Kingdom of Sardinia & Monaco
