RICname,type,continent,GPH_code,slug,parent_entity
British Colonies (French produce),locality,World,,,British Colonies
British Colonies (other),locality,World,,BritishColoniesother,British Colonies
British Colonies & United Kingdom,group,World,,BritishColonies_UnitedKingdom,
British Columbia,GPH_entity,America,1027,BritishColumbia,
British Columbia & British North Eastern America,group,America,,BritishColumbia_BritishEastNorthAmerica,
British Columbia & Rupert's Land,group,America,,BritishColumbia_Rupert'sLand,
British Columbia & Vancouver,group,America,,BritishColumbia_Vancouver,
British East Indies,colonial_area,Asia,,BritishEastIndies,United Kingdom
British East Indies (other),locality,Asia,,BritishEastIndiesother,British East Indies
British East Indies & Canary Is. & Cape Colony (Cape of Good Hope),group,World,,,
British East Indies & Canary Is. & Cape Colony (Cape of Good Hope) & Madagascar (Malagasy Republic),group,World,,,
British East Indies & Thailand (Siam),group,Asia,,,
British Eastern Africa,colonial_area,Africa,,BritishEastAfrica,United Kingdom
British Eastern Africa (other),locality,Africa,,BritishEastAfricaOther,British Eastern Africa
British Eastern Africa & Cape Colony (Cape of Good Hope) & Egypt Arab Republic (Egypt) & Madagascar (Malagasy Republic),group,Africa,,BritishEastAfrica_CapeColonyCapeofGoodHope_EgyptArabRepublicEgypt_MadagascarMalagasyRepublic,
British Eastern Africa & Cape Colony (Cape of Good Hope) & Madagascar (Malagasy Republic),group,Africa,,BritishEastAfrica_CapeColonyCapeofGoodHope_MadagascarMalagasyRepublic,
British Eastern Africa & Pemba Island & Zanzibar,group,Africa,,,
British Eastern Asia,colonial_area,Asia,,,United Kingdom
British Eastern Asia (other),locality,Asia,,,British Eastern Asia
British Equatorial Eastern Africa,colonial_area,Africa,,,United Kingdom
British Equatorial Western Africa,colonial_area,Africa,,,United Kingdom
British Europe,colonial_area,Europe,,BritishEurope,United Kingdom
British Europe (other),locality,Europe,,,British Europe
British Europe & United Kingdom,group,Europe,,BritishEurope_UnitedKingdom,
British Guinea (Bolama),GPH_entity,Africa,4044,,
British Indian Ocean Islands,colonial_area,Oceania,,,United Kingdom
British Indochina,colonial_area,Asia,,,United Kingdom
British Kaffraria,GPH_entity,Africa,5614,BritishKaffraria,
British Mediterranean Sea,colonial_area,World,,BritishMediterranean,United Kingdom
British Mediterranean Sea & United Kingdom,group,Europe,,BritishMediterranean_UnitedKingdom,
British North Central America,colonial_area,America,,,United Kingdom
British North Eastern America,colonial_area,America,,,United Kingdom
British Northern Africa,colonial_area,Africa,,,United Kingdom
British Northern America,colonial_area,America,,BritishNorthAmerica,United Kingdom
British Northern America (other),locality,America,,BritishNorthAmericaother,British Northern America
British Northern America (other) & Canada (Province of Canada),group,America,,,
British Northern America & United States of America,group,America,,BritishNorthAmerica_UnitedStatesofAmerica,
British Oceania,colonial_area,Oceania,,BritishOceania,United Kingdom
British Oceania (other),locality,Oceania,,BritishOceaniaother,British Oceania
British Oceania & New Zealand,group,Oceania,,,
British South Atlantic,colonial_area,Africa,,,United Kingdom
British South Western Africa,colonial_area,Africa,,,United Kingdom
British Southern Africa,colonial_area,Africa,,BritishSouthAfrica,United Kingdom
British Southern America,colonial_area,America,,BritishSouthAmerica,United Kingdom
British Southern America (other),locality,America,,BritishSouthAmericaother,British Southern America
British Southern America & British West Indies & Guyana (British Guiana),group,America,,,
British Southern America & French Southern America,group,America,,,
British Togoland,GPH_entity,Africa,462,,
British Togoland & Togo (French Togoland),group,Africa,,,
British Virgin Is.,GPH_entity,America,1061,,
British West Indies,colonial_area,America,,,United Kingdom
British West Indies (other),locality,America,,,British West Indies
British West Indies (other) & Jamaica & Jamaica Dependencies & Trinidad and Tobago,group,America,,,
British West Indies & Guyana (British Guiana),group,America,,,
British West Indies & Swedish West Indies,group,America,,,
British West Indies & United Kingdom,group,World,,,
British Western Africa,colonial_area,Africa,,BritishWestAfrica,United Kingdom
British Western Africa (other),locality,Africa,,,British Western Africa
British Western Africa & Canada (Province of Canada),group,World,,,
British Western Africa & French Western Africa (other) & Liberia & Spanish Africa,group,Africa,,,
British Western Africa & South Africa,group,Africa,,,
British Western Asia,colonial_area,Asia,,,United Kingdom
British World,colonial_area,World,,BritishWorld,United Kingdom
Brooketon,locality,Asia,,Brooketon,Brunei
Browse I.,locality,Oceania,,,Western Australia
Brunei,GPH_entity,Asia,835,Brunei,
Brunei & Sabah (North Borneo) & Sarawak,group,Asia,,Brunei_SabahNorthBorneo_Sarawak,
Brunei & Sarawak,group,Asia,,Brunei_Sarawak,
Brunswick,GPH_entity,Europe,244,Brunswick,
Bruxelles,locality,Europe,,,Belgium
Buceo,locality,America,,Buceo,Uruguay
Buenos Aires,GPH_entity,America,1161,BuenosAires,
Buenos Aires & Montevideo,group,America,,BuenosAires_Montevideo,
Bulgaria,GPH_entity,Europe,355,Bulgaria,
Bulgaria & Crete,group,Europe,,Bulgaria_Crete_EuropeanTurkey,
Bulgaria & Egypt Arab Republic (Egypt) & Turkey (Ottoman Empire),group,World,,,
Bulgaria & European Turkey,group,Europe,,,
Bulgaria & Kingdom of Serbia,group,Europe,,Bulgaria_KingdomofSerbia,
Bulgaria & Kingdom of Serbia & Montenegro,group,Europe,,Bulgaria_EuropeanTurkey_KingdomofSerbia_Montenegro,
Bulgaria & Kingdom of Serbia & Montenegro & Romania,group,Europe,,Bulgaria_EuropeanTurkey_KingdomofSerbia_Montenegro_Romania,
Bulgaria & Kingdom of Serbia & Romania,group,Europe,,Bulgaria_KingdomofSerbia_Romania,
Bulgaria & Turkey (Ottoman Empire),group,World,,,
Bulhar,locality,Africa,,,Somalia
Burkina Faso (Upper Volta),GPH_entity,Africa,439,,
Burutu,locality,Africa,,,Nigeria
Bushehr,locality,Asia,,,Iran (Persia)
Cabinda (Portuguese Congo),GPH_entity,Africa,5403,,
Cadix,locality,Europe,,Cadix,Spain
California (Great Bear Republic),GPH_entity,America,1014,CaliforniaGreatBearRepublic,
Callao,locality,America,,Callao,Peru
Cambodia (Kampuchea),GPH_entity,Asia,811,CambodiaKampuchea,
Cambodia (Kampuchea) & Cochin China,group,Asia,,CambodiaKampuchea_CochinChina,
Cambodia (Kampuchea) & Cochin China & Tonkin,group,Asia,,CambodiaKampuchea_CochinChina_Tonkin,
Cameroun (French Cameroon),GPH_entity,Africa,471,CamerounFrenchCameroons,
Cameroun (French Cameroon) & French West Africa & Togo (French Togoland),group,Africa,,CamerounFrenchCameroons_FrenchWestAfrica_TogoFrenchTogoland,
Cameroun (French Cameroon) & Togo (French Togoland),group,Africa,,,
Campeche,locality,America,,,Mexico
Canada (Atlantic Coast),locality,America,,,Canada (Province of Canada)
Canada (Pacific Coast),locality,America,,,Canada (Province of Canada)
Canada (Province of Canada),GPH_entity,America,20,CanadaProvinceofCanada,
Canada (Province of Canada) (other),locality,America,,,Canada (Province of Canada)
Canada (Province of Canada) & Central America & Southern America & United States of America,group,America,,,
Canada (Province of Canada) & Central America & United States of America,group,America,,Canada_CentralAmerica_UnitedStatesofAmerica,
Canada (Province of Canada) & Newfoundland and Labrador (Newfoundland),group,America,,CanadaProvinceofCanada_NewfoundlandandLabradorNewfoundland,
Canada (Province of Canada) & Southern America,group,America,,Canada_Othercountries_SouthernAmerica,
Canada (Province of Canada) & Southern America & United States of America,group,America,,Canada_SouthernAmerica_UnitedStatesofAmerica,
Canada (Province of Canada) & United States of America,group,America,,CanadaProvinceofCanada_UnitedStatesofAmerica,
Canary Is.,GPH_entity,Africa,410,CanaryIs,
Canary Is. (other),locality,Africa,,,Canary Is.
Canary Is. & Cape Colony (Cape of Good Hope),group,Africa,,CanaryIs_CapeColonyCapeofGoodHope,
Canary Is. & Cape Colony (Cape of Good Hope) & Madagascar (Malagasy Republic),group,Africa,,CanaryIs_CapeColonyCapeofGoodHope_MadagascarMalagasyRepublic,
Canary Is. & Cape Colony (Cape of Good Hope) & Madeira Isles,group,Africa,,,
Canary Is. & Madeira Isles,group,Africa,,CanaryIs_MadeiraIsles,
Canary Is. & Spain,group,World,,CanaryIs_Spain,
Canary Is. & Spanish Morocco,group,Africa,,CanaryIs_SpanishMorocco,
Canary Is. & Tenerife,group,Africa,,CanaryIs_Tenerife,
Canary Is. & Western Africa,group,Africa,,,
Cap-Haïtien,locality,America,,Cap-Ha�tien,Haiti
Cap-Rouge,locality,America,,Cap-Rouge,Quebec (Lower Canada)
Cape Breton I.,GPH_entity,America,1021,,
Cape Breton I. & Nova Scotia,group,America,,CapeBretonI._NovaScotia,
Cape Coast Castle,locality,Africa,,,Ghana (Gold Coast)
Cape Colony (Cape of Good Hope),GPH_entity,Africa,561,CapeColonyCapeofGoodHope,
Cape Colony (Cape of Good Hope) & East Indies & Mauritius,group,World,,CapeColonyCapeofGoodHope_EastIndies_Mauritius,
Cape Colony (Cape of Good Hope) & Eastern Africa,group,Africa,,,
Cape Colony (Cape of Good Hope) & Gambia & Guinea (French Guinea) (Rivieres du Sud) & Mauritius & Senegal,group,Africa,,CapeColonyCapeofGoodHope_Gambia_GuineaFrenchGuineaRivieresduSud_Mauritius_Senegal,
Cape Colony (Cape of Good Hope) & Guinea (French Guinea) (Rivieres du Sud),group,Africa,,,
Cape Colony (Cape of Good Hope) & India,group,World,,CapeColonyCapeofGoodHope_India,
Cape Colony (Cape of Good Hope) & Mauritius,group,Africa,,CapeColonyCapeofGoodHope_Mauritius,
Cape Colony (Cape of Good Hope) & Mauritius & New South Wales,group,World,,CapeColonyCapeofGoodHope_Mauritius_NewSouthWales,
Cape Colony (Cape of Good Hope) & Natal,group,Africa,,CapeColonyCapeofGoodHope_Natal,
Cape Colony (Cape of Good Hope) & South Africa (other),group,Africa,,BritishSouthAfrica_CapeColonyCapeofGoodHope,
Cape Colony (Cape of Good Hope) & Western Africa,group,Africa,,,
Cape Lopez,locality,Africa,,,Gabon
Cape Palmas,locality,Africa,,,Liberia
Cape Town,locality,Africa,,CapeColonyCapeofGoodHope,Cape Colony (Cape of Good Hope)
Cape Verde,GPH_entity,Africa,402,CapeVerde,
Cape Verde (other),locality,Africa,,,Cape Verde
Cape Verde & East Timor (Portuguese Timor) & Macao & Portuguese India & Sao Tome-Principe,group,World,,CapeVerde_EastTimorPortugueseTimor_Macao_PortugueseIndiainclGoaDiuDaman_SaoTomePrincipe,
Cape Verde & Goree & Senegal & Windward Coast of Africa,group,Africa,,,
Caroline Is.,GPH_entity,Oceania,9810,CarolineIs.,
Carriacou,locality,America,,,Grenada
Cartagena (Colombia),locality,America,,ColombiaNewGranadaGranColombia,Colombia (New Granada) (Gran Colombia)
Cartagena (Spain),locality,Europe,,CartagenaSpain,Spain
Carúpano,locality,America,,,Venezuela
Casablanca,locality,Africa,,Casablanca,Morocco
Casablanca & El Jadida (Mazaghan),group,Africa,,Casablanca_ElJadidaMazaghan,
Casamance,locality,Africa,,,Senegal
Catalonia,locality,Europe,,,Spain
Caucasus,geographical_area,World,,,
Caucasus (other),locality,Europe,,,Caucasus
Cayenne,locality,America,,,French Guiana
Cayman Is.,GPH_entity,America,1033,CaymanIs,
Central Africa,geographical_area,Africa,,,
Central African Republic (Ubangi Shari),GPH_entity,Africa,482,,
Central African Republic (Ubangi Shari) & Chad,group,Africa,,,
Central African Republic (Ubangi Shari) & Congo (Brazzaville) (French Congo) (Middle Congo),group,Africa,,,
Central America,geographical_area,America,,CentralAmerica,
Central America (Continental) (other),locality,America,,,Central America
Central America (Insular) (other),locality,America,,,Central America
Central America (other),locality,America,,,Central America
Central America (West),geographical_area,America,,,
Central America & Guatemala,group,America,,,
Central America & Mexico,group,America,,CentralAmerica_Mexico,
Central America & Mexico (other),group,America,,,
Central America & Mexico & Panama,group,America,,,
Central America & Mexico & West Indies,group,America,,,
Central America & Southern America,group,America,,CentralAmerica_SouthernAmerica,
Central America & Southern America & West Indies (other),group,America,,,
Central America & Spanish America,group,America,,CentralAmerica_SpanishAmerica,
Central America & West Indies,group,America,,,
Central Asia,geographical_area,Asia,,,
Central Powers Occupied Territories,geographical_area,World,,,
Cephalonia,locality,Europe,,Cephalonia,Greece
Ceuta,GPH_entity,Africa,6062,Ceuta,
Ceuta & Melilla,group,Europe,,,
Chad,GPH_entity,Africa,483,,
Chafarinas,GPH_entity,Africa,6063,Chafarinas,
Chania,locality,Europe,,Chania,Egypt Arab Republic (Egypt)
Channel Is.,GPH_entity,Europe,2003,ChannelIs.,
Channel Is. & Isle of Man,group,Europe,,ChannelIs._IsleofMan,
Channel Is. & United Kingdom,group,Europe,,ChannelIs_UnitedKingdom,
Chennai (Madras),locality,Asia,,ChennaiMadras,India
Chennai (Madras) & Coromandel Coast Posts,group,Asia,,,
Chennai (Madras) & India (Coast),group,Asia,,ChennaiMadras_IndianCoast,
Chennai (Madras) & Kolkata (Calcutta),group,Asia,,ChennaiMadras_KolkataCalcutta,
Chicago,locality,America,,,United States of America
Chile,GPH_entity,America,155,Chile,
Chile (other),locality,America,,,Chile
Chile & Cuba & Peru & World (other),group,World,,Chile_Cuba_Othercountries_Peru,
Chile & India,group,America,,Chile_India,
Chile & Patagonia (Pacific Coast),group,America,,,
Chile & Peru,group,America,,Chile_Peru,
Chile & Southern America (other) & Uruguay,group,America,,,
Chiloane,locality,Africa,,,Mozambique (Portuguese East Africa)
Chinese Treaty Ports,locality,Asia,,PeoplesRepublicofChinaChina,People's Republic of China (China)
Chinese Treaty Ports & Hong Kong,group,Asia,,,
Chios,locality,Europe,,,Greece
Chittagong,locality,Asia,,Chittagong,India
Christmas I.,GPH_entity,Oceania,9001,ChristmasI.,
Christmas I. & Cocos (Keeling) Is.,group,Oceania,,,
Cilicia,locality,Asia,,,Turkey (Ottoman Empire)
Civitavecchia,locality,Europe,,Civitavecchia,Papal States
Clarke Is.,locality,Oceania,,,New South Wales
Clipperton I.,GPH_entity,America,9610,ClippertonI.,
Cochin China,GPH_entity,Asia,8151,CochinChina,
Cochin China & French India,group,Asia,,,
Cochin China & Java & Philippines & Thailand (Siam),group,Asia,,CochinChina_IndonesiaDutchEastIndies_Philippines_ThailandSiam,
Cochin China & Macao & People's Republic of China (China),group,Asia,,CochinChina_Macao_PeoplesRepublicofChinaChina,
Cochin China & Oceania & People's Republic of China (China),group,World,,CochinChina_Oceania_PeoplesRepublicofChinaChina,
Cochin China & Oceania & People's Republic of China (China) & Philippines,group,World,,CochinChina_Oceania_PeoplesRepublicofChinaChina_Philippines,
Cochin China & People's Republic of China (China),group,Asia,,CochinChina_PeoplesRepublicofChinaChina,
Cochin China & Thailand (Siam),group,Asia,,CochinChina_ThailandSiam,
Cochin China & Tonkin,group,Asia,,,
Cocos (Keeling) Is.,GPH_entity,Oceania,9002,,
Collingapatam,locality,Asia,,,India
Collo,locality,Africa,,,Algeria (Regency of Algiers)
Colombia (New Granada) (Gran Colombia),GPH_entity,America,100,ColombiaNewGranadaGranColombia,
Colombia (New Granada) (Gran Colombia) (other),locality,America,,,Colombia (New Granada) (Gran Colombia)
Colombia (New Granada) (Gran Colombia) & Ecuador & Venezuela,group,America,,ColombiaNewGranadaGranColombia_Ecuador_Venezuela,
Colombia (New Granada) (Gran Colombia) & Galapagos Is.,group,America,,,
Colombia (New Granada) (Gran Colombia) & Guatemala,group,America,,ColombiaNewGranadaGranColombia_Guatemala,
Colombia (New Granada) (Gran Colombia) & Guatemala & Venezuela,group,America,,ColombiaNewGranadaGranColombia_Guatemala_Venezuela,
Colombia (New Granada) (Gran Colombia) & Panama,group,America,,ColombiaNewGranadaGranColombia_Panama,
Colombia (New Granada) (Gran Colombia) & Venezuela,group,America,,ColombiaNewGranadaGranColombia_Venezuela,
Colón,locality,America,,Col�n,Panama
Colón & Panama,group,America,,,
Comoros,GPH_entity,Africa,581,,
Comoros & Madagascar (Malagasy Republic),group,Africa,,,
Conakry,locality,Africa,,,Guinea (French Guinea) (Rivieres du Sud)
Congo (Brazzaville) (French Congo) (Middle Congo),GPH_entity,Africa,484,CongoBrazzavilleFrenchCongoMiddleCongo,
Congo (Brazzaville) (French Congo) (Middle Congo) & French Africa (other) & Senegal,group,Africa,,,
Congo (Brazzaville) (French Congo) (Middle Congo) & French Western Africa (other) & Senegal,group,Africa,,CongoBrazzavilleFrenchCongoMiddleCongo_FrenchWestAfricaother_Senegal,
Congo (Brazzaville) (French Congo) (Middle Congo) & Senegal,group,Africa,,,
Congress Poland,GPH_entity,Europe,2901,,
Congress Poland & Cracow (Free City of Cracow),group,Europe,,,
Congress Poland & Galicia (Kingdom of Galicia and Lodomeria) & Russian provinces,group,Europe,,,
Congress Poland & Russia (USSR),group,Europe,,,
Continental Europe,geographical_area,Europe,,ContinentalEurope,
Cook Is.,GPH_entity,Oceania,925,,
Copenhagen,locality,Europe,,,Denmark
Corfu,GPH_entity,Europe,3351,,
Corfu & Malta,group,Europe,,Corfu_Malta,
Coringa (India),locality,Asia,,,India
Corisco I.,GPH_entity,Africa,4112,,
Cork,locality,Europe,,Cork,Ireland
Coromandel Coast Posts,GPH_entity,Asia,7503,CoromandelCoastPosts,
Coromandel Coast Posts & Malabar Coast,group,Asia,,CoromandelCoastPosts_MalabarCoast,
Corps Expeditionnaire d'Orient (Gallipoli and Dardanelles),geographical_area,Asia,,,
Corsica,locality,Europe,,,France
Costa Rica,GPH_entity,America,94,CostaRica,
Costa Rica & El Salvador & Guatemala,group,America,,CostaRica_ElSalvador_Guatemala,
Costa Rica & El Salvador & Guatemala & Honduras,group,America,,CostaRica_ElSalvador_Guatemala_Honduras,
Costa Rica & El Salvador & Guatemala & Honduras & Nicaragua,group,America,,CostaRica_ElSalvador_Guatemala_Honduras_Nicaragua,
Costa Rica & Guatemala & Honduras,group,America,,CostaRica_Guatemala_Honduras,
Costa Rica & Guatemala & Honduras & Nicaragua,group,America,,,
Cotonou,locality,Africa,,,Benin (Dahomey)
Crab I.,locality,America,,,Berbice
Cracow (Free City of Cracow),GPH_entity,Europe,2903,CracowFreeCityofCracow,
Crete,GPH_entity,Europe,351,Crete,
Crete & Egypt Arab Republic (Egypt),group,World,,Crete_EgyptArabRepublicEgypt,
Crete & European Turkey,group,Europe,,Crete_EuropeanTurkey,
Crete & Greece,group,Europe,,Crete_Greece,
Crete & Turkey (Ottoman Empire),group,World,,,
Crimea Ports,locality,Europe,,RussiaUSSR,Russia (USSR)
Croatia,GPH_entity,Europe,344,,
Croatia & Dalmatia & Illyria,group,Europe,,Croatia_Dalmatia_Illyria,
Croatia & Kingdom of Serbia,group,Europe,,Croatia_KingdomofSerbia,
Crozet Is.,GPH_entity,Oceania,9974,CrozetIs.,
Cuba,GPH_entity,America,40,Cuba,
Cuba & Curacao & Guadeloupe & Martinique & Puerto Rico & St. Croix & St. Thomas,group,America,,Cuba_Curacao_Guadeloupe_Martinique_PuertoRico_StCroix_StThomas,
Cuba & Dominican Republic (Santo Domingo) & Haiti,group,America,,,
Cuba & Haiti & Puerto Rico,group,America,,,
Cuba & Haiti & Puerto Rico & World (other),group,World,,Cuba_Haiti_Othercountries_PuertoRico,
Cuba & La Guaira,group,America,,Cuba_LaGuaira,
Cuba & Philippines & Puerto Rico,group,America,,Cuba_Philippines_PuertoRico,
Cuba & Puerto Rico,group,America,,Cuba_PuertoRico,
Cuba & Spain,group,World,,Cuba_Spain,
Cuba & West Indies (other),group,America,,,
Curacao,GPH_entity,America,1065,Curacao,
Curacao & Dutch Windward Is. & Sint Eustatius,group,America,,Curacao_DutchWindwardIs._SintEustatius,
Curacao & Jamaica,group,America,,,
Curacao & Jamaica & Trinidad and Tobago,group,America,,Curacao_Jamaica_TrinidadandTobago,
Curacao & Netherlands,group,World,,,
Curacao & Surinam (Dutch Guiana),group,America,,,
Cuxhaven,locality,Europe,,,Hamburg
Cuxhaven & Hamburg,group,Europe,,,
Cuxhaven & Heligoland,group,Europe,,Cuxhaven_Heligoland,
Cyprus,GPH_entity,Europe,352,Cyprus,
Cyprus & Gibraltar,group,Europe,,,
Cyprus & Gibraltar & Heligoland & Malta & United Kingdom,group,Europe,,,
Cyprus & Gibraltar & Malta,group,Europe,,Cyprus_Gibraltar_Malta,
Cyprus & Gozo & Malta,group,Europe,,Cyprus_Gozo_Malta,
Cyprus & Malta,group,Europe,,,
Cyprus & Palestine,group,World,,,
Cyrenaica,GPH_entity,Africa,6202,,
Cyrenaica & Tripolitania (Regency of Tripoli),group,Africa,,Cyrenaica_Tripolitania,
Czechoslovakia,GPH_entity,Europe,315,Czechoslovakia,
Czechoslovakia & Hungary,group,Europe,,,
Dakar,locality,Africa,,,Senegal
Dalian,GPH_entity,Asia,7132,,
Dalian & Korea (Chosen) & Vladivostok,group,World,,Dalny_KoreaChosen_Vladivostok,
Dalmatia,locality,Europe,,,Austria-Hungary (Austrian Empire)
Damaraland,locality,Africa,,,Namibia (South West Africa) (German South West Africa)
Damascus,locality,Asia,,,Syria
Damietta,locality,Africa,,,Egypt Arab Republic (Egypt)
Danish America,colonial_area,America,,DanishAmerica,Denmark
Danish America & Spanish America,group,America,,DanishAmerica_SpanishAmerica,
Danish Colonies,colonial_area,World,,DanishColonies,Denmark
Danish Colonies (other),locality,World,,,Danish Colonies
Danish Colonies & Denmark,group,World,,DanishColonies_Denmark,
Danish Europe,colonial_area,Europe,,DanishEurope,Denmark
Danish Guyana,colonial_area,America,,,Denmark
Danish India,colonial_area,Asia,,,Denmark
Danish India & French India & India,group,Asia,,,
Danzig (Free City of Danzig),GPH_entity,Europe,291,DanzigFreeCityofDanzig,
Danzig (Free City of Danzig) & Memel,group,Europe,,DanzigFreeCityofDanzig_Memel,
Danzig (Free City of Danzig) & Poland,group,Europe,,DanzigFreeCityofDanzig_Poland,
Dar es Salaam,locality,Africa,,,Tanzania (Tanganyika)
Dartmouth,locality,America,,,Nova Scotia
Davis Strait,locality,America,,,Greenland
Davis Strait & Greenland,group,America,,DavisStrait_Greenland,
Degema (Nigeria),locality,Africa,,,Nigeria
Delhi,locality,Asia,,Delhi,India
Demerara,locality,America,,,Demerara and Essequibo
Demerara and Essequibo,GPH_entity,America,1113,,
Democratic Republic of the Congo (Zaire) (Kinshasa) (Belgian Congo) (Congo Free State),GPH_entity,Africa,490,DemocraticRepublicoftheCongoZaireKinshasaBelgianCongoCongoFreeState,
Democratic Republic of the Congo (Zaire) (Kinshasa) (Belgian Congo) (Congo Free State) & Ruanda-Urundi,group,Africa,,DemocraticRepublicoftheCongoZaireKinshasaBelgianCongoCongoFreeState_RuandaUrundi,
Democratic Republic of the Congo (Zaire) (Kinshasa) (Belgian Congo) (Congo Free State) & Uganda,group,Africa,,,
Denmark,GPH_entity,Europe,390,Denmark,
Denmark (other),locality,Europe,,,Denmark
Denmark & Faeroe Is.,group,Europe,,Denmark_FaeroeIs.,
Denmark & Faeroe Is. & Greenland & Iceland,group,World,,Denmark_FaeroeIs._Greenland_Iceland,
Denmark & Faeroe Is. & Iceland,group,Europe,,Denmark_FaeroeIs._Iceland,
Denmark & Greenland,group,World,,Denmark_Greenland,
Denmark & Greenland & Iceland,group,World,,Denmark_Greenland_Iceland,
Denmark & Holstein & Schleswig,group,Europe,,Denmark_Holstein_Schleswig,
Denmark & Iceland,group,Europe,,Denmark_Iceland,
Denmark & Madeira Isles & Spain,group,World,,Denmark_MadeiraIsles_Spain,
Denmark & Norway,group,Europe,,Denmark_Norway,
Denmark & Norway & Russia (USSR) & Sweden,group,Europe,,Denmark_Norway_RussiaUSSR_Sweden,
Denmark & Norway & Sweden,group,Europe,,Denmark_Norway_Sweden,
Denmark & Russia (USSR),group,Europe,,Denmark_RussiaUSSR,
Denmark & Russia (USSR) & Sweden,group,Europe,,Denmark_RussiaUSSR_Sweden,
Denmark & Saxony,group,Europe,,,
Denmark & Sweden,group,Europe,,Denmark_Sweden,
Denmark & Virgin Islands (Danish West Indies),group,World,,Denmark_VirginIslandsDanishWestIndies,
Digby,locality,America,,,Nova Scotia
Diyarbakir,locality,Asia,,,Turkey (Ottoman Empire)
Djibouti (Afar and Issas) (French Somaliland),GPH_entity,Africa,522,DjiboutiAfarandIssasFrenchSomaliland,
Djibouti (Afar and Issas) (French Somaliland) & Eritrea,group,Africa,,DjiboutiAfarandIssasFrenchSomaliland_Eritrea,
Djibouti (Afar and Issas) (French Somaliland) & Ethiopia (Abyssinia),group,Africa,,,
Djibouti (Afar and Issas) (French Somaliland) & Ethiopia (Abyssinia) & Eritrea & Italian Somaliland & Sudan (Anglo-Egyptian Sudan) (Mahdist State),group,Africa,,,
Djibouti (Afar and Issas) (French Somaliland) & Italian Somaliland,group,Africa,,,
Djibouti (Afar and Issas) (French Somaliland) & Italian Somaliland & Somaliland Republic (British Somaliland),group,Africa,,DjiboutiAfarandIssasFrenchSomaliland_ItalianSomaliland_SomalilandRepublicBritishSomaliland,
Djibouti (Afar and Issas) (French Somaliland) & Obock,group,Africa,,DjiboutiAfarandIssasFrenchSomaliland_Obock,
Djibouti (Afar and Issas) (French Somaliland) & Socotra I. & Somaliland Republic (British Somaliland),group,Africa,,DjiboutiAfarandIssasFrenchSomaliland_SocotraI_SomalilandRepublicBritishSomaliland,
Djibouti (Afar and Issas) (French Somaliland) & Somaliland Republic (British Somaliland),group,Africa,,DjiboutiAfarandIssasFrenchSomaliland_SomalilandRepublicBritishSomaliland,
Dodecanese Is. (Aegean Is.),GPH_entity,Europe,3353,DodecaneseIs.AegeanIs.,
Dodecanese Is. (Aegean Is.) & Italy,group,Europe,,,
Dominica,GPH_entity,America,54,Dominica,
Dominican Republic (Santo Domingo),GPH_entity,America,42,DominicanRepublicSantoDomingo,
Dominican Republic (Santo Domingo) & Haiti,group,America,,DominicanRepublicSantoDomingo_Haiti,
Dominican Republic (Santo Domingo) & Haiti & Puerto Rico,group,America,,,
Douala,locality,Africa,,,Cameroun (French Cameroon)
Dunkirk,locality,Europe,,Dunkirk,France
Durban (Port Natal),locality,Africa,,,Natal
Dutch Africa,colonial_area,Africa,,,Netherlands
Dutch America,colonial_area,America,,DutchAmerica,Netherlands
Dutch Asia,colonial_area,Asia,,DutchAsia,Netherlands
Dutch Asia (other),locality,Asia,,,Dutch Asia
Dutch Asia (other) & Java,group,Asia,,,
Dutch Asia & Dutch Oceania,group,World,,DutchAsia_DutchOceania,
Dutch Borneo,colonial_area,Asia,,,Netherlands
Dutch Borneo & Java,group,Asia,,,
Dutch Borneo & Sarawak,group,Asia,,,
Dutch Central America,colonial_area,America,,,Netherlands
Dutch Colonies,colonial_area,World,,DutchColonies,Netherlands
Dutch Colonies (other),locality,World,,DutchColoniesother,Dutch Colonies
Dutch Colonies (other) & Natuna,group,Asia,,,
Dutch Colonies & Netherlands,group,World,,DutchColonies_Netherlands,
Dutch Eastern Africa,colonial_area,Africa,,,Netherlands
Dutch Free Ports,locality,Europe,,,Netherlands
Dutch government,locality,Europe,,Dutchgovernment,***NA
Dutch India,colonial_area,Asia,,,Netherlands
Dutch India (other),locality,Asia,,,Dutch India
Dutch Oceania,colonial_area,Oceania,,DutchOceania,Netherlands
Dutch Oceania (other),locality,Oceania,,DutchOceaniaother,Dutch Oceania
Dutch Posts (Gold Coast),GPH_entity,Africa,4535,DutchPostsGoldCoast,
Dutch South Western Africa,colonial_area,Africa,,,Netherlands
Dutch Windward Is.,GPH_entity,America,1074,,
East Asian Russia,locality,Asia,,,Russia (USSR)
East Frisia,locality,Europe,,EastFrisia,Prussia
East Frisia & Oldenburg,group,Europe,,,
East India Company,locality,Asia,,EastIndiaCompany,India
East India Company & People's Republic of China (China) & Sri Lanka (Ceylon),group,Asia,,EastIndiaCompany_PeoplesRepublicofChinaChina_SriLankaCeylon,
East India Company & Sri Lanka (Ceylon),group,Asia,,EastIndiaCompany_SriLankaCeylon,
East Indies,geographical_area,Asia,,EastIndies,
East Indies (other),locality,Asia,,EastIndiesother,East Indies
East Indies & Guinea (French Guinea) (Rivieres du Sud) & People's Republic of China (China),group,World,,EastIndies_GuineaFrenchGuineaRivieresduSud_PeoplesRepublicofChinaChina,
